回答番号,受付番号,回答日時,あなたの性別は？,あなたが住んでる地区は？,あなたが住んでる地区の良いところや好きなところ、自慢したいところは？,鯖江市に変わってほしいところや不便なところは？,あなたが社会人になっても鯖江市（市外の方は今住んでるまち）に住み続けたい？ [※１～２を選択した人の次の設問はQ７です],Q5で３～５を選択した人にお聞きします。具体的にどこに移りたいですか？ [都道府県、市町、地区名など],Ｑ５であなたが選んだ理由は？ [できるだけ具体的にお願いいたします。],あなたが欲しい情報を探したり集めたりするときに使うものは？ [（○は３つまで）],あなたは鯖江市がどんなまちになったらいいと思いますか？ [（○は３つまで）],鯖江市の将来像について、夢や希望、アイデアなど、想いを自由に書いてください。,その他、市に対して言いたいことを、自由に書いてください。
179,PB00017972,2023-07-14T09:32:48,男性,市外,,,２．一度、市を出て、また帰ってきたい,,仕事場の都合上移動する必要がある可能性があるから,スマートフォン（スマホ）;新聞・雑誌など;パソコン,安心して結婚・出産・子育てができるまち;産業が盛んで働く場所が充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,
178,PB00017853,2023-07-14T09:32:42,女性,市外,近くに図書館があり、勉強ができる。,学校の近くに遊べる場所がない。,５．県外に移りたい,石川県,今住んでいる場所はなにもないから。,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,みんなが暮らしやすい街になって欲しい。,遊べる場所を増やしてほしい。
177,PB00017735,2023-07-14T09:32:26,女性,市外,勉強できる場所が多いこと,,２．一度、市を出て、また帰ってきたい,,今住んでいるところがいいから,スマートフォン（スマホ）;タブレット端末,歴史・伝統・芸術・文化を大切にするまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;身近に自然を感じることのできるまち,,
176,PB00017612,2023-07-14T09:31:56,男性,吉川,空気がきれいなところ,学校帰りにふらっとよれるいつでもつかえる体育館がないところ,５．県外に移りたい,岡山県,雨が少ないから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち;産業が盛んで働く場所が充実したまち;高度な医療や福祉サービスが充実したまち,スポーツをするのに困らない,鯖江の西番スポーツセンターの屋内のテニスコートが撤去されたので自由にテニスができなくなった。
175,PB00017501,2023-07-14T09:31:54,男性,鯖江（惜陰・進徳小学校区）,田んぼ,なにもないこと,５．県外に移りたい,石川県,今住んでいる場所に何もないから,スマートフォン（スマホ）,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,
174,PB00017490,2023-07-14T09:31:32,男性,豊,自然豊かで静かなところ,交通手段があまりなく、駅が遠い,２．一度、市を出て、また帰ってきたい,,いろんなものがある都会に住んでみたいなと思うから,スマートフォン（スマホ）;テレビ,子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち;だれもが自由に移動できる交通利便性の高いまち,安全な街がいいです,交通手段があまりなくて少し困ります
173,PB00017361,2023-07-14T09:31:31,男性,市外,自然豊か,歩道が狭いところがある,５．県外に移りたい,静岡県,大学に行きたいから,スマートフォン（スマホ）,デジタル技術を活用したサービスが充実したまち;身近に自然を感じることのできるまち;安心して結婚・出産・子育てができるまち,県外の人や外国人が住み続けたいと思う街,良い市です
172,PB00017231,2023-07-14T09:31:30,男性,市外,景色がいい,ない,１．いま住んでる地区にずっと住み続けたい,,景色がいい,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,,
171,PB00017141,2023-07-14T09:31:11,男性,鯖江（惜陰・進徳小学校区）,コンビニがところどころにある,バレーやバスケのコートなどを増やしてほしい,２．一度、市を出て、また帰ってきたい,,"こだわりがない
どこでもいい",スマートフォン（スマホ）;タブレット端末;テレビ,スポーツに親しむ環境が整備されたまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,スポーツが活発な,外国人とスポーツして遊びたい
170,PB00017005,2023-07-14T09:31:01,回答しない,神明（神明・鳥羽小学校区）,図書館がある,工場が臭い,２．一度、市を出て、また帰ってきたい,,色んな場所に行きたいから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち,ランドワンを設立,
169,PB00016985,2023-07-14T09:30:48,女性,吉川,自然が多いところ,遊べる場所が少ないところ,２．一度、市を出て、また帰ってきたい,,住みやすいから,スマートフォン（スマホ）;テレビ,まちなみや景観が美しいまち,住んでる人が安心して過ごせる街,
168,PB00016843,2023-07-14T09:30:45,女性,片上,近所付き合いがいい,"友達と遊べる場所を増やしてほしい。
外灯を増やしてほしい
",２．一度、市を出て、また帰ってきたい,,安全で住みやすそうだから,スマートフォン（スマホ）,若者や女性に選ばれる魅力のあるまち;安心して結婚・出産・子育てができるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,もっと活性化してほしい,友達と遊べる場所を増やしてほしい
167,PB00016700,2023-07-14T09:30:36,男性,神明（神明・鳥羽小学校区）,静か,遊べるところがほしい,５．県外に移りたい,東京周辺,便利だから,スマートフォン（スマホ）,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;地域資源を活かした観光交流が盛んなまち,,
166,PB00016605,2023-07-14T09:30:34,男性,吉川,夏休みに様々な行事がある,ない,５．県外に移りたい,大阪府,やりたいことが見つかりそうだから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち;地域資源を活かした観光交流が盛んなまち,,
165,PB00016513,2023-07-14T09:30:32,男性,鯖江（惜陰・進徳小学校区）,,遊べるところがない。,５．県外に移りたい,東京,"鯖江は何もなくて面白くないから。
鯖江市ではやりたいことに限りがある",スマートフォン（スマホ）;タブレット端末,スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,誰でも利用できる勉強スペースを作る,
164,PB00016406,2023-07-14T09:30:30,女性,鯖江（惜陰・進徳小学校区）,西山公園がある,無駄にドラックストアが多いところ,５．県外に移りたい,京都,県外の生活もしてみたいから,スマートフォン（スマホ）;テレビ,地域資源を活かした観光交流が盛んなまち;だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
163,PB00016343,2023-07-14T09:30:21,男性,市外,近くにベルがある。,コンビニが少ない,５．県外に移りたい,東京,福井が田舎だから。,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,,
162,PB00016213,2023-07-14T09:30:20,回答しない,市外,自然,田舎,５．県外に移りたい,とうきょう,都会,スマートフォン（スマホ）,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,ラウンドワンほしい,学校にゴキブリが出る
161,PB00016137,2023-07-14T09:30:20,男性,豊,田んぼが多い,遊ぶ場所がない,１．いま住んでる地区にずっと住み続けたい,,"住みやすい場所だから
",スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち;だれもが自由に移動できる交通利便性の高いまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,
160,PB00016041,2023-07-14T09:30:12,男性,中河,空気がきれい,遊べる場所がない,２．一度、市を出て、また帰ってきたい,,今とは別な場所に住んでみたいから,スマートフォン（スマホ）;タブレット端末,スポーツに親しむ環境が整備されたまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;まちなみや景観が美しいまち,自然豊かできれいな町,"遊べる場所をつくってほしい
色々な店を建ててほしい
"
159,PB00015995,2023-07-14T09:30:02,女性,市外,車が少なく静か,遊ぶ場所が少ない,５．県外に移りたい,石川県,遊ぶ場所が多いから,スマートフォン（スマホ）;タブレット端末,だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,
158,PB00015841,2023-07-14T09:29:55,女性,市外,スタバがある,特になし,１．いま住んでる地区にずっと住み続けたい,,一人暮らしするお金がないから,パソコン;スマートフォン（スマホ）;タブレット端末,スポーツに親しむ環境が整備されたまち;安心して結婚・出産・子育てができるまち,電車の本数を増やしてほしい,特になし
157,PB00015718,2023-07-14T09:29:53,男性,市外,,,１．いま住んでる地区にずっと住み続けたい,,住みやすい,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち;スポーツに親しむ環境が整備されたまち,,
156,PB00015670,2023-07-14T09:29:53,女性,鯖江（惜陰・進徳小学校区）,児童館があったり、納涼祭が行われていたりする。,公共交通機関で行ける範囲の遊べる場所や飲食店がほぼない。,１．いま住んでる地区にずっと住み続けたい,,今の生活に特に不便を感じていないから。,パソコン;スマートフォン（スマホ）;テレビ,子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,公共交通機関が発達し、自動車や自転車がなくても市内を移動でき、若者から高齢者までみんなが楽しめるまち。,
155,PB00015564,2023-07-14T09:29:48,女性,立待,近くに公園がある,図書館で勉強するスペースが少ない,５．県外に移りたい,大阪,お店がたくさんあって住みやすそうだから,スマートフォン（スマホ）,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;子どもから高齢者まで安心して教育を受けられるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,若者からお年寄りまで安心してすみ続けられる街になるといいなと思います,
154,PB00015469,2023-07-14T09:29:47,女性,中河,公民館の利用がしやすい,"遊べる場所が少ない
",５．県外に移りたい,石川、関西,街が発展していて住みやすそうだから,スマートフォン（スマホ）;タブレット端末;パソコン,防災対策や防犯対策が十分で安全安心に暮らせるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;だれもが自由に移動できる交通利便性の高いまち,もっと発展した街にしてほしい,もっと電車の運行時間を多くして交通移動がしやすいようにしてほしい
153,PB00015337,2023-07-14T09:29:38,男性,神明（神明・鳥羽小学校区）,大きな公園がある,特になし,１．いま住んでる地区にずっと住み続けたい,,今住んでいる街が落ち着いているから,パソコン;スマートフォン（スマホ）;タブレット端末,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;個性を尊重し多様なライフスタイルが実現できるまち,特になし,特になし
152,PB00015253,2023-07-14T09:29:36,男性,新横江（鯖江東小学校区）,,"鯖江駅前のタイルが滑りやすいので変えてほしい
イオンモールの建設、それが叶わないなら商店街を盛り上げてほしい",１．いま住んでる地区にずっと住み続けたい,,都会には住みたくないから,スマートフォン（スマホ）;パソコン;新聞・雑誌など,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;産業が盛んで働く場所が充実したまち,イオンモール,youtubeの広告で選挙活動をするのはいいが、もう少し関心を持てる内容にしてほしい
151,PB00015199,2023-07-14T09:29:16,女性,神明（神明・鳥羽小学校区）,近所に桜の木が多くお花見ができるところ,遊べる施設が少ないのでなにか低予算で楽しめる企画を考えてほしい,５．県外に移りたい,兵庫県の宝塚市、京都府,"宝塚が好きですぐに観劇に行ける距離に住みたいから
和を感じられる場所に住みたいから京都が好きだから",スマートフォン（スマホ）;テレビ;新聞・雑誌など,歴史・伝統・芸術・文化を大切にするまち;個性を尊重し多様なライフスタイルが実現できるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,安心して暮らせる街にしたい,"次世代に借金の支払いを任せるのは辞めてほしい
"
150,PB00015081,2023-07-14T09:29:05,男性,神明（神明・鳥羽小学校区）,いろんな道で走れる,バスが運行する時間が遅い,５．県外に移りたい,東京,鯖江になにもないから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち,みんなが笑顔でいる街,東公園陸上競技場の器具が壊れているので新しくしてほしいです。
149,PB00014936,2023-07-14T09:28:44,男性,鯖江（惜陰・進徳小学校区）,"自然が多く、空気や景色が綺麗
",遊べる場所が少ない,５．県外に移りたい,京都府,住みやすそうだから,パソコン;スマートフォン（スマホ）;テレビ,まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち;だれもが自由に移動できる交通利便性の高いまち,,
148,PB00014827,2023-07-14T09:28:41,男性,鯖江（惜陰・進徳小学校区）,買い物がしやすい,もっと遊べるようなところがほしい,５．県外に移りたい,京都か北陸三県,県外で住んでみたいしかし福井県から離れすぎるのも嫌だ,パソコン;スマートフォン（スマホ）;テレビ,子どもから高齢者まで安心して教育を受けられるまち;高度な医療や福祉サービスが充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,もっと遊べるところがある街,鯖江クリーンセンターの問題を早くどうにかして
147,PB00014724,2023-07-14T09:28:39,女性,市外,自然がいっぱい,,５．県外に移りたい,まだ決めていない,将来学びたい学問が県外にしかないから。,スマートフォン（スマホ）,歴史・伝統・芸術・文化を大切にするまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;安心して結婚・出産・子育てができるまち,,
146,PB00014615,2023-07-14T09:28:24,男性,市外,みんなやさしい,無料で使える体育館がほしい,５．県外に移りたい,大阪か京都,もっと多くの人と関わりたいから,スマートフォン（スマホ）;タブレット端末;テレビ,若者や女性に選ばれる魅力のあるまち,LDHが街を良くする,電車をもっと走らせてほしい
145,PB00014586,2023-07-14T09:28:22,男性,鯖江（惜陰・進徳小学校区）,俺がいること,高齢化の伴う人口の現象,１．いま住んでる地区にずっと住み続けたい,,地元盛り上げてhood starになるため,パソコン;テレビ;その他,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;地域資源を活かした観光交流が盛んなまち,"住民税を安くして住みやすい形にする
地元愛の強い国にする",税金安くして安月給の若者の住みやすい街にしろ。さらにへるぞ
144,PB00014430,2023-07-14T09:28:20,女性,市外,公園が沢山ある,テーマパークを増やすべきだと思う。,５．県外に移りたい,愛知県,色々融通が利きそうだから,パソコン;スマートフォン（スマホ）;テレビ,若者や女性に選ばれる魅力のあるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,住みたい街ランキング一位に選ばれたらいいと思う,
143,PB00014386,2023-07-14T09:28:09,女性,立待,小さな子が遊べる場所が身の回りにあるところ,バスなどが使いづらい,５．県外に移りたい,東京都,大きな企業が県外に多いから,パソコン;スマートフォン（スマホ）;タブレット端末,子どもから高齢者まで安心して教育を受けられるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;個性を尊重し多様なライフスタイルが実現できるまち,色々な個性を持っていて、それぞれを尊重し会えるような人たちであふれる市,
142,PB00014222,2023-07-14T09:27:25,女性,吉川,コウノトリが普通にいる,バスの数が少なく不便,５．県外に移りたい,,なにかと不便が多い,スマートフォン（スマホ）,安心して結婚・出産・子育てができるまち,,
141,PB00014184,2023-07-14T09:27:16,男性,鯖江（惜陰・進徳小学校区）,特にない,もう少し遊べる場所を増やしてほしい,２．一度、市を出て、また帰ってきたい,,大学に行く可能性があるから,パソコン;スマートフォン（スマホ）;テレビ,産業が盛んで働く場所が充実したまち;若者や女性に選ばれる魅力のあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,
140,PB00014086,2023-07-14T09:27:11,男性,市外,自然豊か,なし,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所に特に不満を感じていないから,パソコン;スマートフォン（スマホ）;テレビ,まちなみや景観が美しいまち;だれもが自由に移動できる交通利便性の高いまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,みんな安全に住むことができる街,なし
139,PB00013920,2023-07-14T09:27:04,回答しない,市外,,,５．県外に移りたい,関西の方,方言かわいい,スマートフォン（スマホ）;パソコン;タブレット端末,子どもから高齢者まで安心して教育を受けられるまち;高度な医療や福祉サービスが充実したまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,
138,PB00013872,2023-07-14T09:26:50,女性,吉川,自然,遊べる場所が少ない,５．県外に移りたい,神戸,ほどよく都会だから,スマートフォン（スマホ）,人々のふれあいやコミュニティ活動が盛んで温かいまち;身近に自然を感じることのできるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,お店がいっぱいできてほしい,遊べる場所がない
