回答番号,受付番号,回答日時,属性,あなたの性別は？,あなたの年齢は？,あなたが住んでる地区は？,あなたが住んでる地区の良いところや好きなところ、自慢したいところは？,あなたが住んでいる地区に変わってほしいところや不便なところは？,鯖江市に変わってほしいところや不便なところは？,あなたは鯖江市に住み続けたいですか？,住みたい場所の質問で、3～5を選択した人にお聞きします。具体的にどこに移りたいですか？,住みたい場所の質問で、あなたが選んだ理由は？,あなたが欲しい情報を探したり集めたりするときに使うものは？ [（○は３つまで）],あなたが欲しい情報を探したり集めたりするときに使うものは？その他,あなたは鯖江市がどんなまちになったらいいと思いますか？ [（○は３つまで）],あなたは鯖江市がどんなまちになったらいいと思いますか？その他,鯖江市の将来像について、夢や希望、アイデアなど、想いを自由に書いてください。,その他、市に対して言いたいことを、自由に書いてください。
542,RS00054290,2023-07-10T15:13:25,中学生,女性,12〜15歳,北中山,地域の人がみんな優しい,,遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,"自然豊かだから
あんまり災害が起こらないから",スマートフォン（スマホ）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,"アルプラザに「IDOLY」というプリクラ機を設置してほしい。
友達と遊べる場所をもっと増やしてほしい。",ない
541,RS00054117,2023-07-10T15:10:23,中学生,男性,12〜15歳,鯖江（惜陰・進徳小学校区）,メガネがすごい。,,"文房具屋がない
買える物が東京都かより少ない",２．一度、市を出て、また帰ってきたい,,"県外はとても楽しそう
",スマートフォン（スマホ）;テレビ;パソコン,,歴史・伝統・芸術・文化を大切にするまち;子どもから高齢者まで安心して教育を受けられるまち;その他,全部,楽しい街鯖江,文房具屋をおおくしてほしい
540,RS00054031,2023-07-10T15:09:09,中学生,女性,12〜15歳,河和田,緑,,遊ぶ場所がない,５．県外に移りたい,東京,良さそうだから,スマートフォン（スマホ）,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,もっと楽しくなってほしい,特にないし
539,RS00053901,2023-07-10T14:47:43,中学生,男性,12〜15歳,片上,"イベントが多い
",,"遊べる場所がない
ショッピングモールがない
",１．いま住んでる地区にずっと住み続けたい,,家族と一緒にいたい,スマートフォン（スマホ）;タブレット端末;テレビ,,だれもが自由に移動できる交通利便性の高いまち;産業が盛んで働く場所が充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,ショッピングモールをたててほしい,ない
538,RS00053892,2023-07-10T14:44:48,中学生,女性,12〜15歳,河和田,"・山が近い　　　　　　・シカと会える　　　・野球ができる
・自然と触れ合える　　・虫を捕まえられる　",,"もう少し交通網を発達させてほしい
移動手段が少ない",２．一度、市を出て、また帰ってきたい,,もっと良い住むところがあると思ったから,スマートフォン（スマホ）;テレビ;スマートウォッチ,,歴史・伝統・芸術・文化を大切にするまち;スポーツに親しむ環境が整備されたまち;若者や女性に選ばれる魅力のあるまち,,若者や高齢者が住みやすく、交通網が発達していてほしいです。,もう少し行事を増やすと良いです。
537,RS00053724,2023-07-10T14:44:41,中学生,男性,12〜15歳,中河,自然を感じれる,,友達と遊んべる場所がない,５．県外に移りたい,大阪市,他のところに行っていろんなことをやりたい,スマートフォン（スマホ）;パソコン;タブレット端末,,歴史・伝統・芸術・文化を大切にするまち;産業が盛んで働く場所が充実したまち;だれもが自由に移動できる交通利便性の高いまち,,"メガネの生産100％
交通整理",
536,RS00053680,2023-07-10T14:44:33,中学生,男性,12〜15歳,河和田,"犯罪が少ない
自然が多い地域の人みんな優しい",,スーパーが少ない,５．県外に移りたい,東京,いろんなことが便利,パソコン;スマートフォン（スマホ）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち,,あまり都市開発などを行わず、自然や文化を残してほしい。,もう少しイベントを行ってほしい
535,RS00053567,2023-07-10T14:44:25,中学生,女性,12〜15歳,河和田,"自然がいっぱい
ご近所同士が中がいい
虫いっぱい
鳥いっぱい
動物にいつも会える",,"誰かが割ったガラスの破片とか落ちてる
道が急なこと
動物の死体をすぐ処理してくれない
森が多すぎて遊ぶ場所がない
",５．県外に移りたい,愛知県　大阪府　東京都,"将来やりたいことが選んだところに多いから
不便なく暮らしたいから
交通整備が整っているから",パソコン;スマートフォン（スマホ）;テレビ,,高度な医療や福祉サービスが充実したまち;安心して結婚・出産・子育てができるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,有名な建物をもっと増やしたいと思う,"有名な建物を増やしてほしいです
"
534,RS00053432,2023-07-10T14:43:51,中学生,男性,12〜15歳,河和田,公園や体育館などがたくさんある,,スーパーやコンビニなどの店がない,２．一度、市を出て、また帰ってきたい,,今が過ごしやすいから,新聞・雑誌など;スマートフォン（スマホ）;テレビ,,安心して結婚・出産・子育てができるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,店や施設がたくさんできてにぎやかな街,
533,RS00053366,2023-07-10T14:42:18,中学生,男性,12〜15歳,河和田,"自然豊か！！！！！！！！
動物がいる",,高速交通網を発達させてほしい,５．県外に移りたい,名古屋,日本では名古屋がバスケ強いから,パソコン;スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち,,"自然豊か！！！！！！！！
",なーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーい
532,RS00053246,2023-07-10T14:42:15,中学生,男性,12〜15歳,片上,自然がいっぱいある,,イオンがない,５．県外に移りたい,岐阜,物価がやすかったから,スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち,,交通網が整備されている,
531,RS00053172,2023-07-10T14:41:46,中学生,女性,12〜15歳,河和田,自然豊か,,交通手段,４．県内の他の市町に移りたい,福井市,"便利だから
交通手段が多いから",スマートフォン（スマホ）;テレビ;新聞・雑誌など,,歴史・伝統・芸術・文化を大切にするまち;若者や女性に選ばれる魅力のあるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,"移動しやすい街
移住者が多い街
人がたくさん来る街
",
530,RS00053034,2023-07-10T14:40:37,中学生,男性,12〜15歳,河和田,"
特産物がある（漆器、やまうに。)　　
自然があるから生き物が豊富",,移動手段が少ない,５．県外に移りたい,まだ、わからない,移動手段が少ないから便利なところに行きたい,パソコン;スマートフォン（スマホ）;タブレット端末,,まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち;だれもが自由に移動できる交通利便性の高いまち,,交通網が発達していて、地域の魅力がある町,"自転車をはしらせるところで、歩道や自転車道が、狭いもしくは、無いときがあるから専用の道をつくってほしい
（町並みとかきれいでサイクリングとかしてる観光客の人がクラクション鳴らされてるのをたまに見る）
⇒自転車に乗って景色見たりする人が減る"
529,RS00052969,2023-07-10T14:40:11,中学生,女性,12〜15歳,河和田,空気がきれい,,遊べる場所を増やしてほしい,２．一度、市を出て、また帰ってきたい,,夢に専念したい,スマートフォン（スマホ）,,若者や女性に選ばれる魅力のあるまち;個性を尊重し多様なライフスタイルが実現できるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,お店をもっとおいたほうがいい,
528,RS00052854,2023-07-10T14:40:08,中学生,女性,12〜15歳,片上,"自然がたくさん
静か
公園がある",,"お店が少ない
暑い",５．県外に移りたい,東京都,"将来やりたい仕事が県外にしかないから
好きなお店が県外にしかないから
県外にもっと行ってみたいと思っているから
県外独自のお祭りや食べ物、風景を楽しみたいから",スマートフォン（スマホ）;テレビ;新聞・雑誌など,,若者や女性に選ばれる魅力のあるまち;スポーツに親しむ環境が整備されたまち;まちなみや景観が美しいまち,,"お店が増えてほしい
遊べる場所を増やしてほしい
交通網が整備されてほしい
ショッピングモールやお店の種類を増やしてほしい",
527,RS00052778,2023-07-10T14:39:22,中学生,女性,12〜15歳,鯖江（惜陰・進徳小学校区）,イベントごとなどがある,,,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）;テレビ;パソコン,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;子どもから高齢者まで安心して教育を受けられるまち,,,
526,RS00052659,2023-07-10T14:39:09,中学生,女性,12〜15歳,河和田,自然が豊か,,交通網,５．県外に移りたい,発達している場所　東京　名古屋など,鯖江は、近場にある店などが少ないから,スマートフォン（スマホ）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;だれもが自由に移動できる交通利便性の高いまち;産業が盛んで働く場所が充実したまち,,交通網が発達してほしい,
525,RS00052590,2023-07-10T14:37:38,中学生,女性,12〜15歳,中河,"きらめきロードがある
",,遊べる場所が少ない(ショッピングモールなど),５．県外に移りたい,愛知県,交通網が発達、整備されているし、遊べる場所が多いから。,スマートフォン（スマホ）,,だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,色々な遊べる場所ができてほしい。,
524,RS00052496,2023-07-10T14:37:19,中学生,女性,12〜15歳,中河,自然がたくさん、空気がいい,,町中をもうちょっとビルやショッピングモールを増やしてほしい。,２．一度、市を出て、また帰ってきたい,,都市にも一度住んでみたいから。,スマートフォン（スマホ）;テレビ;パソコン,,歴史・伝統・芸術・文化を大切にするまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,"鯖江市が自然豊かで、お店や商店街があるにぎやかな街になってほしい！
そして、交通手段も増えてほしい！",鯖江市は空気もとてもきれいで自然も豊かなのでそれを活かした街づくりをするのがいいと思います！
523,RS00052388,2023-07-10T14:37:18,中学生,女性,12〜15歳,河和田,自然豊か,,"友達と遊べる場所が少ない
移動手段が少ない",５．県外に移りたい,神戸市,ある程度都会だから,パソコン;スマートフォン（スマホ）,,まちなみや景観が美しいまち;だれもが自由に移動できる交通利便性の高いまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,バスなどがたくさんあって車の免許がなくても移動できる,歩道がガタガタしている
522,RS00052219,2023-07-10T14:36:02,中学生,女性,12〜15歳,河和田,自由に遊べる公園がある,,道にゴミや動物の死骸が落ちている時がある,４．県内の他の市町に移りたい,福井市,店がたくさんあるから,パソコン;スマートフォン（スマホ）;テレビ,,歴史・伝統・芸術・文化を大切にするまち;まちなみや景観が美しいまち;個性を尊重し多様なライフスタイルが実現できるまち,,鯖江の産物を使用した製品や食べ物がたくさん人々に広まってほしい,
521,RS00052169,2023-07-10T14:04:44,中学生,女性,12〜15歳,河和田,"・自然豊か
・",,川に堤防をつくってほしい,２．一度、市を出て、また帰ってきたい,,・東京とかに一度住んでみたいから,パソコン;スマートフォン（スマホ）;テレビ,,歴史・伝統・芸術・文化を大切にするまち;防災対策や防犯対策が十分で安全安心に暮らせるまち;個性を尊重し多様なライフスタイルが実現できるまち,,災害対策がしっかりできている,防犯対策を一度見直してほしい
520,RS00052089,2023-07-10T14:04:03,中学生,女性,12〜15歳,中河,春に桜祭りがあり鯉のぼりが見れる。,,バスなどが通っていない所がある,２．一度、市を出て、また帰ってきたい,,県外にいっていろいろやりたいことがあから。,スマートフォン（スマホ）;タブレット端末,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,,
519,RS00051921,2023-07-10T14:03:16,中学生,男性,12〜15歳,鯖江（惜陰・進徳小学校区）,自然が豊かなこと,,田舎,５．県外に移りたい,愛知県,いろいろ仕事がありそうだから,スマートフォン（スマホ）,,高度な医療や福祉サービスが充実したまち;産業が盛んで働く場所が充実したまち;デジタル技術を活用したサービスが充実したまち,,交通網を整備してほしい,
518,RS00051817,2023-07-10T12:48:28,中学生,女性,12〜15歳,中河,挨拶をすると返してくれる,,"お店が少ない
交通網が少ない",２．一度、市を出て、また帰ってきたい,,今住んでる場所が良いから,タブレット端末;スマートフォン（スマホ）;パソコン,,防災対策や防犯対策が十分で安全安心に暮らせるまち;だれもが自由に移動できる交通利便性の高いまち;個性を尊重し多様なライフスタイルが実現できるまち,,交通網が発達している,
517,RS00051744,2023-07-10T11:14:57,中学生,男性,12〜15歳,片上,"豊かな自然
治安がいい",,"友達と遊べる場所が少ない
歩道が草だらけの場所がある",１．いま住んでる地区にずっと住み続けたい,,"住み慣れているから
今住んでいるところが住みやすいから",スマートフォン（スマホ）;タブレット端末;テレビ,,まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち;だれもが自由に移動できる交通利便性の高いまち,,歩行者や自転車でも安心して移動できる,"歩道を整備する
曲がり角などにカーブミラーを設置する"
516,RS00051645,2023-07-10T09:21:05,中学生,男性,12〜15歳,河和田,"自然環境がよく
落ち着いて勉強やスポーツに取り組める",,遊べるところを増やす,５．県外に移りたい,東京、愛知,街が発達してるから,パソコン;スマートフォン（スマホ）;テレビ,,子どもから高齢者まで安心して教育を受けられるまち;地域資源を活かした観光交流が盛んなまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,施設などを建てる,頑張れ！
515,RS00051594,2023-07-10T08:25:15,中学生,男性,12〜15歳,北中山,自然がいっぱい。,,今はない。,１．いま住んでる地区にずっと住み続けたい,,自然がいっぱい。,テレビ;ラジオ,,子どもから高齢者まで安心して教育を受けられるまち,,良い未来,
514,RS00051474,2023-07-10T08:19:20,中学生,男性,12〜15歳,中河,自然が豊か,,河和田が遠くて遊びに行くにも大変,２．一度、市を出て、また帰ってきたい,,鯖江市はいい町だから帰って来たい。,スマートフォン（スマホ）,,スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,"バスの本数とかを増やして鯖江市内を気軽に移動できるようなシステムがほしい
楽しいイベントを増やしてほしい",
513,RS00051308,2023-07-10T08:18:41,中学生,女性,12〜15歳,中河,自然がいっぱいで環境がきれい,,交通手段が少ない,２．一度、市を出て、また帰ってきたい,,住みやすいから,スマートフォン（スマホ）;パソコン;テレビ,,安心して結婚・出産・子育てができるまち;歴史・伝統・芸術・文化を大切にするまち;まちなみや景観が美しいまち,,交通手段が多く、環境もきれいな街。,
512,RS00051204,2023-07-10T08:18:20,中学生,女性,12〜15歳,片上,自然豊か,,遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,一度出てみたいと思ったから,スマートフォン（スマホ）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち,,イオンとラウンドワンができてほしい,お店をほしいです
511,RS00051123,2023-07-10T08:18:05,中学生,男性,12〜15歳,北中山,アジサイを１万本植えたこと,,坂が多い,２．一度、市を出て、また帰ってきたい,,そのほうが色々やりやすそうだから。,パソコン;タブレット端末;新聞・雑誌など,,身近に自然を感じることのできるまち;歴史・伝統・芸術・文化を大切にするまち;デジタル技術を活用したサービスが充実したまち,,,
510,RS00051084,2023-07-10T08:17:07,中学生,男性,12〜15歳,立待,ちょうどいい田舎,,特にない,１．いま住んでる地区にずっと住み続けたい,,この地域が良いから。,スマートフォン（スマホ）;その他,辞書・他人,子どもから高齢者まで安心して教育を受けられるまち;高度な医療や福祉サービスが充実したまち;デジタル技術を活用したサービスが充実したまち,,このままバランスを崩さずいってほしい。,あまりないです｡(強いて言うなら体育座り:別名囚人座りをやめさせてほしいこと)
509,RS00050989,2023-07-10T08:17:00,中学生,女性,12〜15歳,中河,桜が綺麗、色々な行事がある,,がたがたな道がある,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所が住みやすいから,スマートフォン（スマホ）,,身近に自然を感じることのできるまち;歴史・伝統・芸術・文化を大切にするまち;高度な医療や福祉サービスが充実したまち,,環境にいい鯖江,
508,RS00050874,2023-07-10T08:16:58,中学生,男性,12〜15歳,中河,"田んぼが多く、自然豊か
近くにお店がいくつかある
",,友達と遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,一度でもいいから、他の地域を見てみたいから,パソコン;スマートフォン（スマホ）;タブレット端末,,防災対策や防犯対策が十分で安全安心に暮らせるまち;身近に自然を感じることのできるまち;スポーツに親しむ環境が整備されたまち,,今のように、自然豊かな鯖江市をこのまま残していきたいです。,"信号機を増やしてほしいです。

"
507,RS00050743,2023-07-10T08:16:42,中学生,男性,12〜15歳,中河,自然豊か,,友達と遊べるところが少ない,１．いま住んでる地区にずっと住み続けたい,,今まで住んできて安心感があるから,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,鯖江の競技場にサブトラックをつくる,
506,RS00050617,2023-07-10T08:16:37,中学生,女性,12〜15歳,河和田,自然が豊かで人が温かいところ。,,"通学路にコンクリートの割れたガタガタの危ない道があるところ。
道路をきれいにしてほしい。",２．一度、市を出て、また帰ってきたい,,県外でやりたいことがあるけど地元に住んでいたいから。,スマートフォン（スマホ）;テレビ;ラジオ,,歴史・伝統・芸術・文化を大切にするまち;だれもが自由に移動できる交通利便性の高いまち;子どもから高齢者まで安心して教育を受けられるまち,,,
505,RS00050579,2023-07-10T08:16:12,中学生,女性,12〜15歳,河和田,"地域の人が優しく挨拶してくれる
",,"遊ぶところがない
移動手段が少ない",２．一度、市を出て、また帰ってきたい,,今住んでる街があたたかいから,スマートフォン（スマホ）;テレビ,,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;若者や女性に選ばれる魅力のあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,遊べるところが増える,交通手段が増えてほしい
504,RS00050447,2023-07-10T08:16:00,中学生,男性,12〜15歳,片上,豊かな自然,,ショッピングモールやレジャー施設が少ない,５．県外に移りたい,北海道,将来やりたいことがあるから,タブレット端末;新聞・雑誌など;パソコン,,防災対策や防犯対策が十分で安全安心に暮らせるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,,イオンモールなどの大型ショッピングモールの建設,
503,RS00050384,2023-07-10T08:15:59,中学生,男性,12〜15歳,中河,毎年祭りが行われる,,イオンモールがない,２．一度、市を出て、また帰ってきたい,,いろんな世界を知りたい,スマートフォン（スマホ）,,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;スポーツに親しむ環境が整備されたまち,,環境をきれいにしたい,将来給料を増やしてほしい
502,RS00050288,2023-07-10T08:15:06,中学生,男性,12〜15歳,中河,スポーツのできる環境がある,,もっと遊べるところを増やしてほしい,１．いま住んでる地区にずっと住み続けたい,,自然が豊かだから,パソコン;スマートフォン（スマホ）;タブレット端末,,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,事故や犯罪の少ない街,
501,RS00050185,2023-07-10T08:14:58,中学生,女性,12〜15歳,中河,,,"遊べる場所が少ない
昔みたいな町並みとか昔みたいなスイーツのやつを多くしてほしい",１．いま住んでる地区にずっと住み続けたい,,一人暮らしが心配だから,スマートフォン（スマホ）;タブレット端末;テレビ,,安心して結婚・出産・子育てができるまち;地域資源を活かした観光交流が盛んなまち;若者や女性に選ばれる魅力のあるまち,,コクリコ坂みたいな昔の町並みで、でもちょっとは近代的な感じの町並みがいい,
500,RS00050058,2023-07-10T08:14:57,中学生,男性,12〜15歳,北中山,ゲームをし過ぎたら緑を眺められる,,"遊ぶところない
あっても金がかかる",５．県外に移りたい,広島市,"好きな物がないから
遊ぶところないから",スマートフォン（スマホ）;テレビ,,歴史・伝統・芸術・文化を大切にするまち;スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち,,イオンモールが欲しい,給付金をください
