【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,上記回答の理由をお答えください（任意）,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。
越前町,全くそうは思わない,大阪や京都に行くのがとても不便になったから。東京方面より、関西方面に行く人の方が多いので、周りの友人たちもみんな不便になったと言っています。,そうは思わない,越前町に来るには、新幹線はあまり関係ないと思う。福井市、敦賀市だけがよかったように思う。,ややそう思う,,とてもそう思う,,とてもそう思う,,どちらかと言えば評価していない,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",,特に心配はない,,"観光スポットを結ぶ交通機関, 観光イベント",2,3,,6,食べ物がおいしいし、のんびりできる。交通面は不便。,6,,40～49歳,女性
おおい町,あまりそうは思わない,本郷は通ってないからです,ややそう思う,今まで時間がかかっていた所まで早い時間でいける様になったからです,ややそう思う,福井県の良さをたくさんの人に知ってもらえるから,ややそう思う,あまりおおい町に観光客の方がいない,そう思う,のんびりゆったりできる所だと思うし、食べ物も美味しいからです,どちらともいえない,取り組みの詳しい事が分からないからです,どちらかと言えば好ましい,ゴミ問題や色々な問題が起こるかもしれないから,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる",,"騒音やごみの増加, 自然破壊",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 駐車場, 体験施設",3,3,,5,母子家庭や父子家庭、ひとり親家庭や高齢者の方に物価が上がってきているのでもうちょっと支援があれば本当に良いと思います。不安がとてもあります,5,"母子家庭で、自分の母親も一緒に暮らしています。年金もほぼ無くて、これから子どもも大きくなって学業にお金もかかり物価も上がってきているのでどうなるの
不安です",30～39歳,女性
大野市,とてもそう思う,,とてもそう思う,,とてもそう思う,,とてもそう思う,,とてもそう思う,,とても評価している,,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",,"交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 体験施設",5,5,,8,,9,,30～39歳,男性
福井市,とてもそう思う,街の活気が良くなった,そう思う,店が増えた,とてもそう思う,来る人が増えれば、経済が良くなる,とてもそう思う,福井に良い印象を持つ人が増えれば、また新しい来県者が来てくれると思う,ややそう思う,観光客が増えるのは良いが、増えすぎると困る,どちらともいえない,どの様な取り組みをしているか、具体的に良く分からない,好ましい,問4に同じ,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 飲食施設, 宿泊施設、土産物屋, 駐車場, 体験施設",5,5,,9,,9,,50～59歳,男性
鯖江市,そうは思わない,停車駅がないから,そうは思わない,関西在住の家族に会いに行くのに電車の乗換があり不便だから,そう思う,,とてもそう思う,福井の良いところをたくさんに人に知ってもらいたいから,そう思う,,どちらかと言えば評価していない,何をやっているかわからない。アピール下手,とても好ましい,人が増えると街が活性化するから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",,特に心配はない,,観光スポットを結ぶ交通機関,4,3,,4,,4,,50～59歳,女性
敦賀市,そう思う,駅前は活性化していると思うが、離れたところは、今一つの感じがする。,そう思う,キャンペーンを使って、旅行が出来たこと。,そう思う,恐竜博物館など、PRしていてよい。,そう思う,福井県を来て良かったと思ってもらいたい。,そう思う,人口現象があるため,評価している,キャンペーンがあると、行ってみたくなる。,どちらかと言えば好ましい,混雑は困る。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",他県では、混雑による影響が報道されている。,観光スポットを結ぶ交通機関,3,3,交通のべんがわるい。,5,,6,,50～59歳,女性
あわら市,とてもそう思う,環境客が増えたと思います。,とてもそう思う,福井に来る人が増えました。,そう思う,福井を知ってもらえるのでいいと思います。,そう思う,福井のいいところを知ってほしい,そう思う,福井県民として観光客が増えると嬉しい,どちらかといえば評価している,,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",,交通渋滞や路上駐車などの交通環境の悪化,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光イベント",5,5,,6,,8,,30～39歳,女性
坂井市,そう思う,,そうは思わない,関西方面への出張がしづらくなった,とてもそう思う,,そう思う,,ややそう思う,,どちらともいえない,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 歴史文化資源の保存活用につながる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 宿泊施設、土産物屋, 駐車場",5,5,,7,,5,,40～49歳,男性
坂井市,あまりそうは思わない,坂井市は新幹線がとまらないから。,とてもそう思う,東京へアクセスしやすくなったから。,とてもそう思う,福井県は少子高齢化で税収が減っていくと見込まれるため、観光客が落としていくお金が大切になると思う,とてもそう思う,私が好きな福井県をより知って貰いたい,とてもそう思う,人が来ることで栄えると思うから,どちらともいえない,福井県はどちらかと言うと守りに入っている気がする。もう少し斬新なことを挑戦してもいいのでは？,とても好ましい,人が来れば活性化するから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 宿泊施設、土産物屋",3,5,福井県は食べ物がおいしくて自然が綺麗だから,8,日常生活では満点だが、お出掛けするとなるとちょっと困る,7,同世代の友達たちが福井県に戻ってこなくて寂しくなる,20～29歳,女性
敦賀市,とてもそう思う,敦賀への観光客が増える,あまりそうは思わない,商売をしているわけではないので！,とてもそう思う,東京から福井に来るのがが近くなったから,とてもそう思う,自分も他県へ観光したときに歓迎されたいから,とてもそう思う,人々、商売に活気が出る,どちらともいえない,PRがちょっとイマイチ,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,騒音やごみの増加,かなり増えればのこと,"観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 飲食施設, 宿泊施設、土産物屋, 駐車場, 体験施設",3,3,,8,まぁまぁ,8,普通に暮らせれば幸せ,60～69歳,女性
越前市,あまりそうは思わない,場所悪い,全くそうは思わない,,ややそう思う,,そう思う,,そう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,波及効果により他の地場産業が活気づく,,騒音やごみの増加,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",3,3,,5,,5,,70歳以上,男性
福井市,全くそうは思わない,名古屋、大阪方面からのアクセスが不便になった。東京方面かのアクセスは一過性でこんな田舎に増えるわけがない。,全くそうは思わない,新幹線を利用する機会がほぼない,あまりそうは思わない,福井に観光に来る理由がないと思う。せいぜい金沢止まり。,全くそうは思わない,福井のいい所がない。,全くそうは思わない,閉鎖的な県民性だし、他からの人は受け入れないと思う,まったく評価していない,暇人の暇つぶし,好ましくない,マナーの悪い人間が増殖するだけ,特に効果は期待できない,,特に心配はない,,その他,1,1,誰が考えても分かること,0,,0,,50～59歳,男性
越前町,ややそう思う,"関東など今まで来なかった地域の方々が来られるようになった反面、丹南地域はアクセスが不便になった。
福井までサンダーバードが走ってくれたら良いのに。",ややそう思う,,そう思う,全国の認知度が上がり、地域の活性に繋がる,とてもそう思う,福井の良さ、魅力を知ってもらいたい。特に食べ物。,とてもそう思う,,どちらともいえない,,好ましい,地域の活性になる,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",,"交通渋滞や路上駐車などの交通環境の悪化, 自然破壊",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 宿泊施設、土産物屋",5,5,自然も文化も伝統工芸もあり、様々な魅力を持っている,9,,9,,50～59歳,女性
小浜市,ややそう思う,朝一の小浜線で、敦賀からのかがやき始発に乗る事ができ10時までに首都圏に着ける点。,全くそうは思わない,今の生活と変わらないから,そう思う,,そう思う,,とてもそう思う,,どちらともいえない,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",,"交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 駐車場",3,3,,3,,3,,30～39歳,男性
越前町,ややそう思う,,ややそう思う,,ややそう思う,,そう思う,,ややそう思う,,どちらともいえない,,どちらともいえない,,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる",,治安の悪化,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）",3,3,,6,,5,,50～59歳,女性
福井市,ややそう思う,観光客の増加,あまりそうは思わない,ハピラインに変わった,ややそう思う,観光客の増加,そう思う,特に無し,そう思う,,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,交通渋滞や路上駐車などの交通環境の悪化,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場",5,5,,9,,9,,60～69歳,男性
あわら市,とてもそう思う,関東圏からの芦原温泉に観光客が来ていると思う,そう思う,,そう思う,,そう思う,,そう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",,特に心配はない,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）",4,4,,8,,8,,70歳以上,男性
鯖江市,全くそうは思わない,関西方面が不便になった,ややそう思う,県内に活気が出てきた,とてもそう思う,,そう思う,,あまりそうは思わない,観光より地場産業,評価している,,どちらともいえない,オーバーツーリズムは歓迎しない,地域の知名度が上がる,,治安の悪化,,観光スポットを結ぶ交通機関,3,5,,7,,5,福井というより世界が悪い方向,60～69歳,男性
越前市,そう思う,関東から乗り継ぎなしで来れる,あまりそうは思わない,利用する予定がないから,そう思う,,そう思う,,そう思う,,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",,"騒音やごみの増加, 治安の悪化",,"トイレ・休憩所等の整備及びユニバーサル化, 宿泊施設、土産物屋",3,3,,6,,6,,70歳以上,男性
敦賀市,そう思う,東京からのアクセスが良くなった,あまりそうは思わない,関東にあまり縁がないから,そう思う,,とてもそう思う,福井県はまだまだ観光で訪れる人が少ない,とてもそう思う,,どちらかといえば評価している,まだまだ宿泊施設が少ない,好ましい,敦賀の商店街はまだまだシャッター通りで,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 宿泊施設、土産物屋",4,4,,8,,8,医療機関が少ない,70歳以上,女性
越前町,ややそう思う,町の民間売上が微増する,ややそう思う,お金が回れば良いことがある,ややそう思う,県が活性化するから,そう思う,福井県が好きだから宣伝する,そう思う,良いとこあるし来て欲しい,どちらかといえば評価している,みんな一生懸命頑張ってる,好ましい,経済回すから,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, ガイドなど市民参加の場が広がる",,交通渋滞や路上駐車などの交通環境の悪化,,"観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット",4,3,その地の良い物がある,7,生まれ育った所は落ち着く,7,そんなにかわらないのではないか,50～59歳,男性
越前市,そう思う,移動手段として新幹線の利用を検討できるようになったから。,そう思う,新幹線を利用すれば、速く移動できるから。,そう思う,福井県のことを知ってもらえるよい機会になるから。,とてもそう思う,,とてもそう思う,温泉や博物館、神社・寺など、学びと癒しの旅ができそうだから。,とても評価している,,とても好ましい,増加の程度にもよるが、マナーを分かりやすく知らせたり人数制限したりするなどの工夫をすれば、たくさんの人に福井県の魅力を分かってもらえると思うから。,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 観光客との交流が生まれる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 体験施設",4,4,,10,,9,,40～49歳,女性
福井市,とてもそう思う,福井駅の状況が開通前と全く違う。凄く活気がある,とてもそう思う,新幹線に乗って何処に行くという日常に変化したのが嬉しい,あまりそうは思わない,福井に足を向けてもらい、福井を知ってもらいのは悪影響より勝るものだと思う,とてもそう思う,観光客さんの動きが福井の活性化につながると思っているので,そう思う,観光資源がまだまだなので、観光の第一選択肢にはなりにくいと思う,とても評価している,ネットの発信など、努力していると思う,好ましい,福井にお金を落としてくれるのはありがたいと思う,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる",,"交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 治安の悪化",福井はレンタカーでないと観光が出来ないので、交通量が多くなるので。もう少し公共交通機関がなんとかならないかと思う,観光スポットを結ぶ交通機関,5,5,永平寺でアルバイトをしているが、沢山の観光客がくるようになって永平寺の建物や自然などに触れてもらえるのは誇らしく思う,9,今まで海のない県にいたので、近くに海があるのは何よりも幸せに感じている,9,私は多分このままこの幸せを感じていると思うので,50～59歳,女性
福井市,そう思う,福井駅前が賑やかになっているから,そう思う,新しいお店が増えているから,そう思う,新しいホテルができたり、観光地の整備がされてきているから,そう思う,たくさんの方が福井を訪れてくれて、よいところを見つけてくださるから,そう思う,福井には、食や観光地などよいところがたくさんあるから,評価している,北陸新幹線開業時のおもてなしがすばらしかったから,好ましい,観光地が整備されるから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる",,"交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 飲食施設, 宿泊施設、土産物屋",4,5,おいしい食べ物や見応えのある観光地があるから,7,,7,,50～59歳,女性
鯖江市,ややそう思う,利用機会が増えた。,ややそう思う,福井駅前の活性化,そう思う,テレビ・SNS等での福井の情報が多くなった。,そう思う,,ややそう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,"まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, ガイドなど市民参加の場が広がる",,"騒音やごみの増加, 治安の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット",2,2,,4,,5,,60～69歳,男性
坂井市,とてもそう思う,駅の活気があって良い,とてもそう思う,東京出張へ行きやすい。,とてもそう思う,,とてもそう思う,,とてもそう思う,,とても評価している,,とても好ましい,,地域の知名度が上がる,,特に心配はない,,観光スポットを結ぶ交通機関,5,5,,10,,10,,20～29歳,女性
勝山市,あまりそうは思わない,,あまりそうは思わない,,あまりそうは思わない,,ややそう思う,,ややそう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,まちに賑わいが生まれる,,自然破壊,,飲食施設,3,4,,6,,6,,30～39歳,男性
鯖江市,あまりそうは思わない,"新幹線駅が遠い。
",そう思う,"駐車場が無料で利用しやすい。
",とてもそう思う,"県外から福井に来やすくなった。
",そう思う,"県内の穴場を紹介してみたい
",そう思う,"県内の産業が活気づく。
",どちらかといえば評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",,特に心配はない,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",4,4,,8,"生活が安定している。
",8,,70歳以上,男性
坂井市,そう思う,,あまりそうは思わない,,あまりそうは思わない,,そう思う,,そう思う,,どちらともいえない,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 駐車場, 体験施設",3,3,,7,イオンモール、コストコがない,7,,50～59歳,女性
福井市,ややそう思う,新しい店ができた,ややそう思う,東京方面へ行く場合に楽になった。逆に大阪方面へ行くのが面倒になった,ややそう思う,,とてもそう思う,,とてもそう思う,,どちらともいえない,取り組んでいる内容が良く分からない。見えにくい。,とても好ましい,福井の魅力を知ってほしい,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",,"騒音やごみの増加, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光マップやパンフレット, 観光案内所、観光ガイド",4,5,宣伝が下手なだけで魅力はいっぱいある,8,とても住みやすい街。,7,先行きはちょっと不安,50～59歳,男性
福井市,そう思う,,あまりそうは思わない,,そう思う,,そう思う,,そう思う,,どちらかといえば評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,交通渋滞や路上駐車などの交通環境の悪化,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光イベント, 宿泊施設、土産物屋",3,3,,7,,7,,50～59歳,男性
