【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光があることで、地域の文化や伝統の持続可能性が高まると思う。,上記回答の理由をお答えください（任意）,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,上記回答の理由をお答えください（任意）,【問１０】観光客が増加することにつ良いと思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。,上記でその他を回答した方はその理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記でその他を回答した方はその理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,,
福井市,そう思う,,そう思う,,そう思う,,とてもそう思う,,そう思う,,評価している,,,,2,,,,まちに賑わいが生まれる,歴史文化資源の破壊,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）",5,,60～69歳,男性,,とても好ましい,,5,,3,,
永平寺町,ややそう思う,きやすくはなる,あまりそうは思わない,縁の深い関西が行きにくい,そう思う,なんにせよ東京から来やすい,とてもそう思う,,とてもそう思う,,評価している,,,,5,,,,"まちに賑わいが生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",特に心配はない,"観光スポットの案内板や標識（多言語表示）, 体験施設",8,文化イベントが少ないのは残念,50～59歳,女性,,とても好ましい,,8,,5,,
福井市,とてもそう思う,経済が活性化されて明るい社会になりそう,とてもそう思う,人の流れが変わって　良い刺激がありそうだから,とてもそう思う,,とてもそう思う,,そう思う,,とても評価している,,,,5,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, ガイドなど市民参加の場が広がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）",8,,50～59歳,女性,,とても好ましい,,9,,5,,
坂井市,あまりそうは思わない,新幹線は高いので庶民には不便です,あまりそうは思わない,商売してないから変わりない,ややそう思う,知ってもらえる,そう思う,福井な良いところを知ってほしい,ややそう思う,福井が好き,どちらともいえない,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）",3,良くも悪くも,50～59歳,女性,,どちらともいえない,,3,県民性,3,,
敦賀市,そう思う,観光客が増える。,あまりそうは思わない,静かに暮らしたいので,そう思う,市民が潤う。,ややそう思う,町が豊かになる。,ややそう思う,,どちらかと言えば評価していない,,,イベントの宣伝を聞かない。,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 駐車場",8,自然が豊か,60～69歳,男性,,どちらともいえない,,8,,4,,
鯖江市,あまりそうは思わない,鯖江からのJR電車が不便になるから,あまりそうは思わない,関西方面にいくのに不便,あまりそうは思わない,福井わ特に何もない,そう思う,来てくれるのわ嬉しい,そう思う,そう思うけど今のままでわ...,どちらともいえない,,,,3,"特に何もないから
西山公園くらい",,,"まちに賑わいが生まれる, 地域の知名度が上がる",交通渋滞や路上駐車などの交通環境の悪化,"観光スポットを結ぶ交通機関, 観光イベント, 飲食施設, 宿泊施設、土産物屋, 体験施設",7,住むにわ住みやすい,40～49歳,女性,,好ましい,,5,,2,,
福井市,ややそう思う,首都圏からの観光客の往来が増える可能性がある。,あまりそうは思わない,生活が直接良くなるとは思えない。,そう思う,首都圏からの観光客の往来が増えるため。,ややそう思う,,ややそう思う,,評価している,,,,3,,,,観光客の消費によって飲食業や宿泊業が潤う,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化","トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場",2,,60～69歳,男性,,どちらともいえない,,2,,2,,
美浜町,ややそう思う,美浜町までの影響は薄い,そう思う,会社新規事業の関係,ややそう思う,,そう思う,,そう思う,自然、食品が誇れる県なので,どちらともいえない,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく","騒音やごみの増加, 自然破壊","トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）",7,,50～59歳,男性,,好ましい,,7,,3,,
越前市,そう思う,見えるから,ややそう思う,,そう思う,,そう思う,,そう思う,,評価している,,,,5,住みやすい,,,観光客の消費によって飲食業や宿泊業が潤う,騒音やごみの増加,観光スポットを結ぶ交通機関,7,,20～29歳,女性,,とても好ましい,,9,,5,,
鯖江市,あまりそうは思わない,駅がない、武生の駅も辺鄙なところにある,そうは思わない,サンダーバードがなくなるから,そう思う,福井やあわらには、関東からの観光客が増えそう,とてもそう思う,福井がもっと発展してほしい,とてもそう思う,越前蟹最高,どちらかといえば評価している,,,駅前を発達させようと頑張っているから,2,鯖江は住みやすい！西山公園も最高,,人がくれば街が活性化するから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 歴史文化資源の保存活用につながる",治安の悪化,観光スポットを結ぶ交通機関,9,自然いっぱい空気が美味しい健康に生活できる,20～29歳,女性,,とても好ましい,,9,結婚しても福井にいたい,5,,
越前市,あまりそうは思わない,,あまりそうは思わない,,そう思う,,そう思う,,そう思う,,どちらかといえば評価している,,,,2,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる",特に心配はない,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光イベント, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド",7,,50～59歳,女性,,どちらかと言えば好ましい,,7,,2,,
越前市,そう思う,観光　ビジネス等で利用が見込める,そう思う,東京への乗り換えが不要になる,そう思う,地場産業への良い方向への影響はある,そう思う,,そう思う,,どちらかといえば評価している,,,,5,,,税収アップ,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 移住・定住のきっかけとなる",特に心配はない,"観光スポットを結ぶ交通機関, 飲食施設, 宿泊施設、土産物屋",9,大雪じゃなければ満点,50～59歳,男性,,好ましい,,10,,4,,
越前市,あまりそうは思わない,駅から行ける観光地がない、交通手段もない,全くそうは思わない,報道の範囲では、従来の手段の方が時間も値段も良かった,あまりそうは思わない,福井県内であまり観光客を見かけない,ややそう思う,せっかく来てくれるなら、なにかいい思い出ができればと思う,あまりそうは思わない,観光地へのアクセスが悪い,どちらともいえない,,,どのようなことをしているか知らない,2,特に紹介したいと思えるものがない,,土地勘がない人が運転すれば事故も起きやすいなど、悪い点も多そうだから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる","交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",観光スポットを結ぶ交通機関,7,観光はあまりないが、住む分に不満はない,30～39歳,女性,土地勘がないと事故が起きやすいと思う,どちらともいえない,人が来ることにより新しいものが福井に増えるのは純粋に嬉しい,7,特に変わらないと思う,2,,
坂井市,そう思う,観光名所があるから人が来るかなと思うので,ややそう思う,東京に頻繁に行きたいなと思うので,そう思う,人が集まる,ややそう思う,何も無いけど何かあるから,ややそう思う,美味しい物も色々あるので,どちらともいえない,,,よく知らないので,3,いい所もあれば悪い所もあるので,,経済が回るので,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく","交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","飲食施設, 観光案内所、観光ガイド",5,住みやすいとは思うが、都会に比べるとサービス等充実していないため,30～39歳,女性,,どちらかと言えば好ましい,,5,数年後には県外に引っ越すかもしれないので,3,,
越前市,ややそう思う,越前たけふ駅は在来線と離れているので移動手段などが心配だから,ややそう思う,新幹線を利用するかわからないから,そう思う,新幹線開業で観光客が増えそうだから,とてもそう思う,"ありがたい事だから
",とてもそう思う,まず来てもらわないとわかってもらえないから,評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",特に心配はない,観光スポットを結ぶ交通機関,7,,50～59歳,女性,,好ましい,,7,,4,,
敦賀市,あまりそうは思わない,関西方面から敦賀への乗り継ぎ客は増えると思うが、実際に市内に観光する名所もないので市内に立ち寄る人が少ないと考えるため。,ややそう思う,富山や長野、東京への観光がしやすくなるため。,そう思う,,とてもそう思う,,あまりそうは思わない,観光名所が散在しているため、電車移動の観光客には観光がしづらい,どちらともいえない,,,取り組み内容を知らない,2,お勧めできる観光場所がない,,観光客が増えることで新しいお店が増えたら生活も豊かになると考える,観光客の消費によって飲食業や宿泊業が潤う,特に心配はない,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 飲食施設, 観光案内所、観光ガイド",3,必要最低限のものは揃うが、娯楽や美容など高い水準より高い値段を払わないといけない。,20～29歳,女性,,好ましい,,3,5年で変わるとは思えない,2,,
鯖江市,あまりそうは思わない,,全くそうは思わない,,そうは思わない,,とてもそう思う,,そう思う,,どちらかといえば評価している,,,,4,,,,"波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる","騒音やごみの増加, 歴史文化資源の破壊, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 観光案内所、観光ガイド, 駐車場",7,,30～39歳,女性,,どちらかと言えば好ましい,,5,,3,,
越前市,そう思う,駅の周囲が開発されてきているので、人の往来が増えてきているから,そう思う,関東への移動が楽になるため。,そう思う,アクセスがよくなるから。,そう思う,来て良かったと思って欲しいので。,とてもそう思う,県として栄えるから。,評価している,,,盛り上がげて行こうと気概が感じられる。,5,歴史的建築物も存在し、食事もおすすめできます。,,観光産業が盛り上がるので。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 観光客との交流が生まれる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋",10,生活しやすいので。,40～49歳,女性,,好ましい,,10,今のままで幸せなので。,5,,
福井市,そう思う,観光客が増えて賑わってくれればなと思います,ややそう思う,新幹線が好きな息子を乗せてあげたいです,そう思う,,そう思う,,そう思う,,評価している,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",観光スポットを結ぶ交通機関,10,,30～39歳,女性,,好ましい,,8,,5,,
福井市,とてもそう思う,東京へのアクセスが格段に便利になるから,そう思う,ディズニーランドに行きやすくなる。埼玉の実家に帰るのが楽になる,とてもそう思う,,とてもそう思う,,とてもそう思う,,評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 移住・定住のきっかけとなる","交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 駐車場",9,,30～39歳,男性,,とても好ましい,,9,,4,,
福井市,あまりそうは思わない,色んな人がくるから,ややそう思う,駅にスタバができるのが嬉しい,あまりそうは思わない,一部にしかいい影響がない,ややそう思う,福井の魅力を広めて欲しい,あまりそうは思わない,観光だけに頼ってはいけないと思う,どちらともいえない,,,関連団体が何をしているのかよくわかっていない,4,恐竜博物館がとってもよい,,交通の便がよくなるのはうれしい,観光客の消費によって飲食業や宿泊業が潤う,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, その他","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 体験施設",9,子どもたちと楽しく過ごせているから,30～39歳,女性,犯罪,どちらかと言えば好ましい,,5,子どもが大きくなり進学時に県外に出ていってしまったらさみしい,4,,
福井市,あまりそうは思わない,駅から観光地へのアクセスが悪い,あまりそうは思わない,報道されている人来県数が増えるとは感じられない,ややそう思う,感覚的なもの,そう思う,数あるところから福井を選択してくれたから,ややそう思う,今現状の生活を守りたい,どちらともいえない,,,よくわからない,3,,,少しでも景気の足しになれば,観光客の消費によって飲食業や宿泊業が潤う,"騒音やごみの増加, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）",8,,40～49歳,男性,,どちらかと言えば好ましい,,8,,3,,
坂井市,全くそうは思わない,駅まで遠いし、今の福井駅等、駅周辺に魅力を感じない,全くそうは思わない,同上,とてもそう思う,県外や海外からの観光客が増えれば福井県が潤い県民にとって有意義な暮らしが出きる助長が出来ると思うから,とてもそう思う,福井県は観光も出来るし美味しいものもある！それを受け入れてもらい来てもらうことが難しい,とてもそう思う,同上,どちらかといえば評価している,,,"アピールするのが難しいんだと思う
レジャーランド系の遊園地とかなんかあればPRのひとつになるのかなぁ？",4,,,福井県が潤い,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化, 日常生活に影響が出るほどの不安","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 飲食施設, 宿泊施設、土産物屋, 駐車場",7,,30～39歳,男性,,とても好ましい,福井県をもっと売っていって欲しい！,7,,4,,
坂井市,あまりそうは思わない,来るよりも出ていく方が多いと思うから。,そうは思わない,無料で乗れるわけじゃないので、家族旅行なら結局コスパの良い自家用車を使うだろうから。,ややそう思う,,ややそう思う,,ややそう思う,これからも？現時点でそうなのかも疑問。,どちらともいえない,,,,2,,,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 飲食施設, 宿泊施設、土産物屋, 駐車場",8,住みやすいとは思うが、休日に出掛けたいところがあまりない。イオンやコストコ、アウトレットや遊園地など、県外に行くことが多くなる。,40～49歳,女性,,どちらかと言えば好ましい,,8,5年で何か変わるとも思えない。,3,,
鯖江市,そうは思わない,鯖江市には止まらないから,あまりそうは思わない,東京にはあまり行かないから,そうは思わない,,そう思う,,とてもそう思う,,どちらかといえば評価している,,,,3,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 移住・定住のきっかけとなる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 宿泊施設、土産物屋, 体験施設",8,,40～49歳,女性,,好ましい,,8,,3,,
越前市,ややそう思う,お店が増えて、働き先が増える,そう思う,東北、関東への旅行が便利になる,ややそう思う,,そう思う,,ややそう思う,,評価している,,,,4,,,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 観光客との交流が生まれる","騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 飲食施設, 宿泊施設、土産物屋, 駐車場",1,,40～49歳,女性,,どちらかと言えば好ましい,,1,,3,,
福井市,あまりそうは思わない,,あまりそうは思わない,,ややそう思う,,そう思う,,そう思う,,どちらかといえば評価している,,,,1,,,,"まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 歴史文化資源の保存活用につながる",騒音やごみの増加,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化",7,,30～39歳,女性,,どちらかと言えば好ましい,,6,,1,,
坂井市,ややそう思う,,あまりそうは思わない,,ややそう思う,,あまりそうは思わない,,ややそう思う,,どちらともいえない,,,,2,,,,特に効果は期待できない,"交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化, その他","観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 宿泊施設、土産物屋",3,,40～49歳,男性,,どちらともいえない,,3,,2,,
福井市,全くそうは思わない,"客観的に見てわざわざ新幹線で福井に来るとおもえない。多分皆気がついているが
",全くそうは思わない,,そうは思わない,他の観光地と比べてインパクトが弱すぎる,全くそうは思わない,,あまりそうは思わない,,どちらかと言えば評価していない,,,,2,,,経済効果が少なからずあるから,観光客の消費によって飲食業や宿泊業が潤う,特に心配はない,"トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 駐車場",8,"アウトレットやテーマパークが無いが
子育てなど生活するには満足しているから",50～59歳,男性,,どちらかと言えば好ましい,,8,,1,,
越前市,ややそう思う,越前市に新幹線の駅があり、そこから何処かに行くのに良い環境だから。,ややそう思う,新幹線に乗る時、駅が近いから。,あまりそうは思わない,混雑する事は無いと思うから。,そう思う,沢山の人に福井を知って貰いたい。,そう思う,自然豊かで、ステキな場所も沢山あるから。,どちらかと言えば評価していない,,,何をしているのか、いまいち分からない。,1,静かで自然が沢山あるから。,,"福井が発展しそうで良い。
","観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる","騒音やごみの増加, 歴史文化資源の破壊, 自然破壊, 治安の悪化","観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",9,遊びに行く所が増えれば10かな？,50～59歳,女性,外国人が増えると、治安が悪くなる傾向にある。,好ましい,移住者が増えて、人口が増えると良い。,9,あまり変わらないと思う。,4,,
