No,紙/WEB,問1,問2,問3,問3 その他,問4,問5,問6,問7 1つ目,問7 2つ目,問7 3つ目,問7 その他,問8 1人目,問8 2人目,問8 3人目,問8 4人目,問8 5人目,問8 未就学児,問8 小学生,問8 中学生,問8 高校生,問8 大学生等,問9,問10,問10 その他,問11 1つ目,問11 2つ目,問11 3つ目,問11 その他,問12 1つ目,問12 2つ目,問12 3つ目,問12 その他,問13① 1つ目,問13① 2つ目,問13① 3つ目,問13① その他,問13② 1つ目,問13② 2つ目,問13② 3つ目,問13② その他,問13③ 1つ目,問13③ 2つ目,問13③ 3つ目,問13③ その他,問13④ 1つ目,問13④ 2つ目,問13④ 3つ目,問13④ その他,問13⑤ 1つ目,問13⑤ 2つ目,問13⑤ 3つ目,問13⑤ その他,問13市 1つ目,問13市 2つ目,問13市 3つ目,問13市 その他,問14,問15-1 1-1重,問15-1 1-1満,問15-1 1-2重,問15-1 1-2満,問15-1 1-3重,問15-1 1-3満,問15-1 1-4重,問15-1 1-4満,問15-1 1-5重,問15-1 1-5満,問15-1 1-6重,問15-1 1-6満,問15-1 1-7重,問15-1 1-7満,問15-1 1-8重,問15-1 1-8満,問15-1 1-9重,問15-1 1-9満,問15-1 2-1重,問15-1 2-1満,問15-1 2-2重,問15-1 2-2満,問15-1 2-3重,問15-1 2-3満,問15-1 2-4重,問15-1 2-4満,問15-1 2-5重,問15-1 2-5満,問15-1 2-6重,問15-1 2-6満,問15-1 2-7重,問15-1 2-7満,問15-1 2-8重,問15-1 2-8満,問15-1 2-9重,問15-1 2-9満,問15-1 2-10重,問15-1 2-10満,問15-1 2-11重,問15-1 2-11満,問15-1 2-12重,問15-1 2-12満,問15-1 2-13重,問15-1 2-13満,問15-1 2-14重,問15-1 2-14満,問15-1 2-15重,問15-1 2-15満,問15-1 2-16重,問15-1 2-16満,問15-1 2-17重,問15-1 2-17満,問15-1 2-18重,問15-1 2-18満,問15-1 2-19重,問15-1 2-19満,問15-1 2-20重,問15-1 2-20満,問15-1 2-21重,問15-1 2-21満,問15-1 2-22重,問15-1 2-22満,問15-2 ①1つ目,問15-2 ①2つ目,問15-2 ①3つ目,問15-2 ②1つ目,問15-2 ②2つ目,問15-2 ②3つ目,問16 1重,問16 1満,問16 2重,問16 2満,問16 3重,問16 3満,問16 4重,問16 4満,問16 5重,問16 5満,問16 6重,問16 6満,問16 7重,問16 7満,問16 8重,問16 8満,問16 9重,問16 9満,問16 10重,問16 10満,問16 11重,問16 11満,問16 12重,問16 12満,問16 13重,問16 13満,問16 14重,問16 14満,問16 15重,問16 15満,問16 16重,問16 16満,問16 17重,問16 17満,問16 18重,問16 18満,問17 自由 意見,web回答番号
11,紙,1,7,7,,1,1,7,1,7,8,,99,99,99,99,99,0,0,0,0,0,3,3,,98,98,98,,3,5,9,,99,99,99,,99,99,99,,6,7,10,,99,99,99,,99,99,99,,99,99,99,,2,5,3,5,3,5,99,99,99,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,2,3,4,12,13,14,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,,
12,紙,1,8,10,,2,1,3,1,5,15,,99,99,99,99,99,0,0,0,0,0,4,1,,1,5,6,,1,2,99,,3,8,12,,2,10,14,,4,9,11,,1,8,9,,1,3,11,,3,8,13,,1,5,2,4,2,5,3,5,4,3,4,3,2,5,4,4,3,4,2,5,4,5,3,5,4,4,2,4,3,3,4,4,5,4,3,3,3,3,2,3,2,5,3,4,4,3,3,5,3,3,4,3,2,4,3,3,3,4,4,4,3,3,2,21,99,99,6,99,99,3,2,5,3,3,2,5,2,3,3,3,2,3,2,4,2,3,3,3,2,4,2,3,3,3,2,3,2,4,1,5,3,4,3,3,3,,
13,紙,1,8,2,,1,1,6,1,12,14,,99,99,99,99,99,0,0,0,0,0,5,2,,98,98,98,,1,2,9,,5,16,99,,3,99,99,,3,5,16,,8,99,99,,2,8,10,,3,4,16,,99,4,99,5,4,5,4,5,3,5,3,4,3,4,3,4,3,5,3,5,4,5,3,5,3,5,3,4,2,4,3,4,3,4,3,4,3,4,3,5,3,5,3,5,3,4,3,4,3,4,2,5,2,4,2,4,2,5,3,4,3,5,3,2,17,21,12,14,18,5,2,4,2,4,2,4,3,4,3,4,3,4,3,5,2,4,3,5,3,5,3,4,2,4,3,4,3,4,3,5,2,5,3,5,3,,
14,紙,1,8,7,,1,1,7,7,13,99,,99,99,99,99,99,0,0,0,0,0,3,3,,98,98,98,,2,5,9,,99,99,99,,99,99,99,,3,7,14,,99,99,99,,99,99,99,,3,8,16,,2,4,3,3,3,3,3,5,3,4,3,3,3,3,3,3,3,3,3,5,3,5,3,5,3,4,3,5,1,5,3,5,3,4,3,5,3,4,3,4,3,5,3,5,3,5,3,3,3,5,1,4,1,5,2,5,3,3,3,4,3,4,3,1,2,3,3,12,19,4,3,5,1,4,3,5,3,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,3,3,3,5,2,5,3,4,3,,
15,紙,1,9,1,,3,1,1,3,5,8,,99,99,99,99,99,0,0,0,0,0,4,3,,98,98,98,,3,5,9,,99,99,99,,3,6,10,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,2,3,4,4,3,3,3,4,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,2,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,3,4,3,4,3,4,3,3,3,5,13,22,5,13,22,3,3,4,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,4,2,4,3,3,3,4,3,3,3,3,3,4,3,,
16,紙,2,1,9,,1,2,7,7,15,99,,99,99,99,99,99,0,0,0,0,0,3,1,,3,99,99,,1,2,4,,99,99,99,,99,99,99,,13,15,16,,99,99,99,,99,99,99,,99,99,99,,1,5,3,5,4,4,3,4,3,4,3,5,99,4,3,5,2,4,3,5,4,5,4,5,3,5,3,4,3,5,3,5,3,4,3,5,3,5,3,5,4,5,3,5,4,5,3,5,3,5,3,5,5,5,4,5,4,3,3,3,3,5,4,99,99,99,99,99,99,5,3,5,4,5,4,5,3,5,3,5,3,5,4,5,3,5,3,5,2,5,3,5,2,5,1,5,3,5,2,5,2,5,5,5,5,,
17,紙,2,2,11,保育士,2,2,1,1,5,15,,99,99,99,99,99,0,0,0,0,0,4,3,,98,98,98,,1,2,5,,2,13,15,,2,6,16,,8,14,99,,1,13,99,,4,8,17,,2,7,13,,2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,4,3,5,0,5,0,5,3,3,3,5,0,3,0,3,0,5,0,5,0,3,0,3,0,5,3,5,3,5,3,5,1,5,1,5,1,5,3,5,3,3,1,3,1,3,1,20,21,99,16,17,18,5,3,5,3,3,3,5,3,5,3,5,3,3,3,3,3,3,3,3,3,3,4,3,2,3,1,3,3,3,3,3,3,3,4,3,4,最近の鯖江市に魅力を感じない。他市町村に遅れを取っているように思う。,
18,紙,2,2,2,,1,2,7,7,9,14,,99,99,99,99,99,0,0,0,0,0,5,3,,98,98,98,,2,5,99,,2,15,99,,2,13,16,,1,9,99,,8,10,99,,7,10,11,,99,99,99,,2,5,4,5,3,4,3,4,4,4,5,4,2,5,3,4,4,4,3,3,3,4,3,5,4,5,3,4,3,5,3,4,2,3,2,3,3,3,3,4,3,5,4,4,3,5,3,3,3,4,2,4,1,4,2,4,2,4,3,4,4,4,4,7,17,18,4,16,19,5,5,4,3,4,4,4,3,4,4,5,3,4,2,4,5,5,5,5,5,4,3,4,2,4,4,4,4,4,2,4,2,4,5,3,2,,
19,紙,2,2,9,,3,2,2,4,6,99,,99,99,99,99,99,0,0,0,0,0,3,1,,4,7,99,,2,5,99,,9,13,15,,9,15,16,,1,4,7,,7,9,14,,7,9,14,,9,14,16,,99,5,3,5,3,4,3,3,3,3,4,3,4,5,3,5,2,3,3,5,3,4,2,4,3,5,2,3,3,4,2,3,3,3,2,5,4,4,2,4,3,0,0,3,3,4,3,4,3,4,3,3,2,4,0,5,0,5,0,5,0,5,0,3,20,21,3,4,19,5,0,5,4,5,4,5,3,4,3,3,3,4,3,3,3,5,3,5,0,5,3,3,3,4,3,4,3,5,4,5,4,5,5,5,4,,
20,紙,2,4,2,,3,2,1,4,99,99,,3,99,99,99,99,0,0,1,0,0,3,3,,98,98,98,,2,5,99,,9,10,14,,2,13,15,,1,7,8,,2,4,5,,1,2,14,,7,13,14,,2,4,3,4,4,4,3,4,3,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,2,4,2,4,3,3,12,17,3,10,12,4,3,4,3,4,3,4,3,4,3,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,,
21,紙,2,4,7,,3,2,3,4,15,99,,2,2,99,99,99,0,2,0,0,0,3,3,,98,98,98,,1,2,4,,8,9,12,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,2,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,3,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,99,99,99,99,99,99,0,0,0,0,0,0,0,0,5,5,5,5,4,4,5,5,0,0,0,0,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,学校でいじわるをされて、家の子は嫌と言いましたが、やめてくれず、くやしくて1時間近く泣いていたそうです。その子はまたいじわるをして話すことが苦手なことを知っている担任の先生は対応してくれなかったのですが、親を心配させまいと学校に行っていますが…。いじめをなくすためにも1人1人対応して欲しです。,
22,紙,2,5,8,,2,2,1,1,8,15,,2,2,99,99,99,0,2,0,0,0,5,3,,98,98,98,,2,5,9,,6,9,14,,6,9,10,,10,11,9,,10,11,99,,3,10,11,,6,9,10,,2,4,4,4,4,3,3,3,3,4,4,5,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,4,3,4,3,4,3,5,3,5,3,5,3,4,3,5,3,5,3,5,3,5,3,5,4,4,3,4,3,1,3,13,12,13,14,4,3,4,3,4,3,5,3,5,3,5,3,4,3,4,3,5,3,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
23,紙,2,5,4,,3,1,10,3,99,99,,5,4,99,99,99,0,0,0,1,1,4,4,,98,98,98,,1,2,99,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,9,10,16,,99,99,99,,2,5,4,5,2,3,3,4,2,3,3,4,2,4,3,5,1,4,2,5,3,5,3,5,3,5,2,3,3,4,3,3,3,3,2,3,3,3,2,3,2,5,3,5,3,3,3,5,3,3,3,5,1,5,3,3,3,5,3,0,0,0,0,17,99,99,17,99,99,0,0,3,2,4,2,3,3,4,3,4,4,3,3,3,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,とにかく車がないと不便すぎます。タクシーも代行もつかまらない。運賃が高すぎる。バスの最終時間も早い。年寄りになって住み続けることに不安しかありません。,
24,紙,2,5,7,,3,2,7,1,8,99,,5,4,99,99,99,0,0,0,1,1,4,3,,98,98,98,,2,5,99,,10,15,99,,1,5,99,,7,8,16,,11,14,99,,4,6,14,,1,14,99,,2,4,3,5,2,4,0,4,4,4,4,3,0,5,4,4,0,5,3,4,0,4,0,5,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,5,4,5,4,5,0,4,0,4,0,5,0,4,4,4,3,4,3,4,0,4,0,17,99,99,12,99,99,5,0,4,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,4,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,,
25,紙,2,6,7,,4,2,10,7,9,13,,99,99,99,99,99,0,0,0,0,0,4,2,,98,98,98,,2,5,6,,6,7,12,,4,5,13,,1,7,13,,2,10,14,,8,9,10,,10,14,16,,99,5,3,5,2,5,4,5,3,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,5,3,5,3,5,4,5,4,5,4,5,3,5,3,5,3,5,4,5,3,5,3,5,3,5,3,5,3,5,3,5,4,5,3,5,3,3,11,13,2,12,19,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,,
26,紙,2,6,10,,3,4,99,15,99,99,,99,99,99,99,99,0,0,0,0,0,3,3,,98,98,98,,2,99,99,,2,9,14,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,2,3,0,5,2,2,0,4,3,4,4,2,2,3,3,2,0,2,3,4,0,3,0,3,3,3,3,0,0,3,3,3,3,3,3,3,3,2,0,3,3,3,3,3,3,3,3,2,0,3,3,5,3,5,3,4,3,5,0,4,0,2,3,99,99,99,99,99,99,4,0,0,0,2,3,3,3,4,3,3,3,3,3,3,2,3,3,3,0,3,3,3,3,3,2,3,0,4,3,4,3,4,3,3,3,,
27,紙,2,6,2,,3,1,1,1,9,15,,99,99,99,99,99,0,0,0,0,0,5,1,,1,4,99,,3,99,99,,99,99,99,,1,14,15,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,2,4,3,3,3,3,3,3,3,3,4,3,3,2,2,1,2,3,3,3,3,2,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,4,4,2,1,2,1,3,3,3,3,3,3,2,2,99,99,99,99,99,99,1,1,1,1,1,1,2,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,,
28,紙,2,7,2,,1,1,1,1,3,15,,99,99,99,99,99,0,0,0,0,0,3,3,,98,98,98,,99,99,99,,1,8,10,,1,3,8,,3,7,11,,3,7,11,,1,8,11,,1,7,8,,2,4,4,5,2,4,3,4,2,4,4,4,3,4,4,5,2,5,4,4,3,4,3,4,3,4,2,5,2,4,3,4,2,3,3,4,3,4,2,4,2,5,3,5,3,5,3,4,2,4,4,5,1,4,3,4,3,5,3,4,2,4,3,1,11,13,3,12,17,5,3,4,2,4,3,5,3,4,3,4,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,3,4,3,5,2,4,4,4,4,,
29,紙,2,8,8,,4,1,10,7,99,99,,99,99,99,99,99,0,0,0,0,0,3,3,,98,98,98,,2,5,99,,1,5,10,,1,5,10,,1,5,10,,1,5,10,,1,5,10,,1,5,10,,2,5,0,4,2,3,3,5,3,4,3,3,0,5,0,4,3,5,2,3,0,5,2,4,0,5,2,3,0,4,3,4,0,4,3,5,2,5,2,4,0,5,0,5,2,5,1,3,0,3,0,3,0,4,3,4,0,4,3,3,3,3,0,99,99,99,13,14,99,5,0,5,3,5,2,3,3,5,3,4,3,3,3,5,2,3,3,3,3,4,0,4,0,4,0,4,0,4,3,5,3,5,0,3,0,高齢の夫婦ですが、週3回ほど生涯スポーツを楽しんでいます。数年前から施設使用料が取られ、夫婦で年間2万円くらい会費がかかります。物価高の中、仲間がみんなぼやいております。昔は活動奨励の助成金がもらえた活動が、減免があるとはいえ、一転有料になるとは。市の財源不足が理由なら、本末転倒だと思います。「(14)生涯現役、生涯青春のまちを目指す。」にも逆行しています。特に地域住民活性化のためにも、無料で開放し、スポーツ文化活動をサポートしてください。市長、市議会議員さんまで届くことをお願いします。,
30,紙,2,8,7,,3,4,7,1,4,15,,99,99,99,99,99,0,0,0,0,0,3,3,,98,98,98,,2,4,5,,2,6,9,,2,9,16,,7,9,11,,10,11,12,,4,8,13,,6,9,16,,2,4,3,5,4,5,4,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,4,2,4,3,4,3,4,3,4,3,4,3,3,5,6,4,12,17,5,3,4,3,4,3,5,3,5,3,5,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,4,3,4,3,4,3,5,4,,
31,紙,2,8,10,,3,1,3,4,5,99,,99,99,99,99,99,0,0,0,0,0,1,3,,98,98,98,,2,3,6,,8,12,14,,7,13,99,,6,9,14,,6,9,11,,4,9,11,,8,14,99,,2,4,0,3,0,3,0,3,0,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,0,4,0,3,0,4,0,2,2,3,3,3,0,3,0,4,3,4,2,3,3,3,0,3,2,0,0,3,3,3,2,3,3,3,3,5,2,99,99,99,99,99,99,4,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,3,0,3,0,3,1,3,3,4,3,3,3,3,3,,
32,紙,2,9,8,,1,1,2,7,8,15,,5,99,99,99,99,0,0,0,0,1,3,3,,98,98,98,,2,5,9,,99,99,99,,9,14,16,,99,99,99,,99,99,99,,99,99,99,,99,99,99,,2,99,3,5,99,99,99,5,99,5,99,5,99,5,99,5,99,5,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,0,99,0,99,99,99,99,5,99,5,99,5,99,0,99,3,99,3,99,99,99,4,99,99,4,99,99,99,99,99,99,99,99,99,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0,5,99,5,99,5,99,5,99,,
