【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,上記回答の理由をお答えください（任意）,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。
鯖江市,全くそうは思わない,,全くそうは思わない,,ややそう思う,,そう思う,,そう思う,,どちらともいえない,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる",,特に心配はない,,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 駐車場",2,2,,3,,3,,40～49歳,男性
越前町,あまりそうは思わない,二次交通が良くない,ややそう思う,長野などからの便はよくなるが大阪方面へは今はよくないと思うから,あまりそうは思わない,新幹線延伸に期待したい,そう思う,観光従事者だから,そう思う,,どちらかといえば評価している,二時交通に努力が見られる,好ましい,越前町は観光の町だから,"観光客の消費によって飲食業や宿泊業が潤う, 移住・定住のきっかけとなる",,騒音やごみの増加,,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 飲食施設",5,4,,9,,6,,60～69歳,女性
敦賀市,そう思う,観光客が増えたから,あまりそうは思わない,観光業ではないから,ややそう思う,観光者が増えたから,そう思う,,そう思う,,どちらともいえない,,どちらかと言えば好ましい,,観光客の消費によって飲食業や宿泊業が潤う,,治安の悪化,,駐車場,3,3,,4,,5,,30～39歳,女性
福井市,ややそう思う,,あまりそうは思わない,ハピラインとＪＲの乗り換えが不便だから,ややそう思う,,そう思う,,そう思う,,どちらかといえば評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",,特に心配はない,,観光スポットを結ぶ交通機関,3,3,,8,,8,,50～59歳,女性
高浜町,ややそう思う,敦賀から高浜まで距離があるので、明らかな良い影響はないかと思う,そう思う,出張や旅行など選択肢が増えた,あまりそうは思わない,新幹線が来る前まではJRが交通のメインで、福井が旅行先から外れてたと思うが、新幹線で選択肢に入ったと思う,とてもそう思う,,そう思う,,どちらかといえば評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",,治安の悪化,,観光スポットを結ぶ交通機関,2,3,,6,,7,,30～39歳,男性
越前市,そう思う,観光客をよく見かけるようになった,とてもそう思う,東京へ行くことが楽になった,そう思う,福井の良さを知ってもらえる,とてもそう思う,福井をよく感じてもらえることは嬉しい,とてもそう思う,だって食も自慢できるもの,どちらかといえば評価している,実際、観光客は増えたから,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる",,交通渋滞や路上駐車などの交通環境の悪化,,"観光スポットを結ぶ交通機関, 観光イベント",5,5,,7,交通の便が今ひとつな点が減点,6,,60～69歳,女性
坂井市,ややそう思う,観光客が増えてます,そうは思わない,東海道新幹線に乗り換えし難い,あまりそうは思わない,関西方面からのアクセスが悪い,あまりそうは思わない,県民だから,そうは思わない,わからない,どちらともいえない,費用対効果が悪い,どちらかと言えば好ましい,経済的に潤う,まちに賑わいが生まれる,,治安の悪化,,体験施設,3,3,,4,,4,,50～59歳,男性
越前町,あまりそうは思わない,,とてもそう思う,,とてもそう思う,,そう思う,,そう思う,,どちらかといえば評価している,,とても好ましい,お金が入るから。ただし、あんまり来すぎると京都のようにマナーを守らない外国人や日本人で溢れかえってしまうので、程々がいいとは思う。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 宿泊施設、土産物屋",5,5,,10,,10,,20～29歳,女性
勝山市,そうは思わない,関西東海圏には不便になったため,全くそうは思わない,関西東海圏には不便になったため,ややそう思う,関西東海圏には不便になったため,そう思う,,そう思う,,どちらともいえない,,好ましい,県内の経済にはプラス,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場",5,5,,10,,7,,50～59歳,男性
鯖江市,全くそうは思わない,特急が無い,あまりそうは思わない,,ややそう思う,,そう思う,,そう思う,,どちらともいえない,,好ましい,,まちに賑わいが生まれる,,特に心配はない,不安視するほどの増加は無いと思う,観光スポットを結ぶ交通機関,2,3,,6,,4,,60～69歳,男性
大野市,あまりそうは思わない,交通の便が良くない,あまりそうは思わない,あまり利用することがなさそう,そう思う,足を運んでくれると地方も活性化する,とてもそう思う,もっと集客できると良いから,そう思う,人が流れないと過疎化に繋がる,どちらかといえば評価している,まだアピール不足を感じる,好ましい,地元が活性化するから,"まちに賑わいが生まれる, 地域の知名度が上がる",,特に心配はない,現状、懸念材料がないから,"観光スポットを結ぶ交通機関, 観光イベント, 飲食施設, 駐車場, 体験施設",5,3,まだ強くアピールできるものがない,8,生活するのには良い環境,8,,40～49歳,女性
福井市,そうは思わない,新幹線を使う人は限られているから,あまりそうは思わない,新幹線を何回も使う事が無い,あまりそうは思わない,どちらでも無いが正しいかな,ややそう思う,最低限のマナーを持った人なら良いかと,そうは思わない,観光が恐竜博物館か東尋坊とかそれくらいしかないから食べ物がうまいとかはどの都道府県もそれぞれあると思うから,どちらともいえない,,どちらかと言えば好ましい,お金が福井におちるから,観光客の消費によって飲食業や宿泊業が潤う,,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 体験施設",3,3,,7,,6,,50～59歳,男性
福井市,そう思う,東京から来やすくなると人が増える,そう思う,趣味の演劇を東京へ見に行きやすい,あまりそうは思わない,大阪似行くのは不便だから,とてもそう思う,地域に活気がでるから,とてもそう思う,将来の人口減少を考えると観光に来てもらった方がいいから,評価している,イベントが多いから,好ましい,経済がうるおうから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化, 日常生活に影響が出るほどの不安",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 宿泊施設、土産物屋, 駐車場, 体験施設",3,3,,7,特に困ることが少ない,5,交通が不便だから,50～59歳,女性
越前市,ややそう思う,,ややそう思う,東京に住む息子のとこに乗り換え無しで行ける様になった。,ややそう思う,,そう思う,,そう思う,,評価している,,好ましい,福井の経済が良くなればいい。,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド",3,4,,9,,9,,60～69歳,女性
小浜市,全くそうは思わない,関東からの観光導線にのっていない,全くそうは思わない,利用していないし、予定もない,とてもそう思う,,とてもそう思う,,とてもそう思う,,どちらともいえない,個別の施策の効果検証が必要,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 歴史文化資源の保存活用につながる",,"歴史文化資源の破壊, 自然破壊",,"観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 飲食施設, 駐車場",4,3,,7,子供の進路が限られる,7,,50～59歳,男性
敦賀市,ややそう思う,駅前や各施設の入場者数が増えたと新聞に掲載されており、観光客が増えたとみているため。,あまりそうは思わない,観光客は増えると予想されるが個人的には観光客の増減に影響しない生活をしているため。,そうは思わない,観光客が増えることは悪いことではないため。,とてもそう思う,福井が好きだから、他の県の人にも知ってもらいたいため。,とてもそう思う,海の幸や恐竜等おすすめできるスポットがたくさんあるため。,どちらかといえば評価している,新幹線開業に向け色々イベントを行っていたため。,好ましい,観光客が増えないと各施設や観光客業が赤字となるため。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",5,4,海の幸が美味しいため。,9,他の所に住んでいたこともあるが、やっぱり地元がいいなと思うため。,8,特に幸福度に変動がみられる要素がないため。,40～49歳,男性
福井市,ややそう思う,思ったより、お客様が来ない。金沢止まりです,そう思う,テレビやマスコミで注目された,そう思う,明るい福井のイメージになった,そう思う,お客様に福井の魅力を知って頂くので,とてもそう思う,見所は、たくさんたくさんある。,どちらかと言えば評価していない,今一歩の感がある。,とても好ましい,福井のアピールになる,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, ガイドなど市民参加の場が広がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 駐車場, 体験施設",5,5,魅力はある。,5,他県と比較するとよくわかる,5,人口減少,50～59歳,男性
福井市,ややそう思う,,あまりそうは思わない,,ややそう思う,,そう思う,,ややそう思う,,どちらともいえない,,どちらともいえない,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）",5,5,,10,,10,,60～69歳,女性
坂井市,全くそうは思わない,通過点なので観光客などの恩恵がない為,全くそうは思わない,今までサンダーバードで大阪まで旅行に行っていたので、むしろ不便に感じる。,そう思う,街が賑わうと思うので。福井を知ってもらうことで、移住などのきっかけにもなったら嬉しい。,そう思う,福井の魅力を知ってほしいので。,ややそう思う,観光客も地域住民も、両者にとって良い県になってほしい。,どちらともいえない,目立った良い取り組みというのが思い浮かばない。具体的にどんな取り組みがされているのかよくわからない。,好ましい,福井の魅力が広まれば嬉しい。マナー面が心配。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 駐車場",4,3,住んでいる市に、観光名所と言えるところが1箇所しかないため。移住面でも、他の市町村のほうが良い取り組みも多く感じる。,5,地元で街を知っているから住みやすいけれど、福育県と言うほど子育て支援は感じられない。共働き率も誇っているようだけれど、それだけ共働きしないと生活していけないのだと感じでほしい。誇るべきでなく、恥ずべきものでは？,1,新幹線開業で観光に力を入れて、県民の生活についての議論が疎かになっているため。今以上に良くなることはなさそう。,30～39歳,女性
福井市,とてもそう思う,駅前が、いつも賑やか,ややそう思う,たのしみが増えた,全くそうは思わない,経済が良くなる,とてもそう思う,今まで知名度が、低かったから,とてもそう思う,,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",,治安の悪化,,"観光スポットを結ぶ交通機関, 駐車場",4,3,,8,賃金が低い,8,,50～59歳,男性
おおい町,とてもそう思う,観光客が増えた,そう思う,地元が良いなと思える,そう思う,経済がまわる,そう思う,歓迎されたら嬉しいから,そう思う,,どちらともいえない,,好ましい,経済がまわる,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 移住・定住のきっかけとなる",,治安の悪化,,観光スポットを結ぶ交通機関,3,3,田舎すぎる,7,,8,,30～39歳,女性
越前市,ややそう思う,,あまりそうは思わない,,そう思う,,とてもそう思う,,そう思う,,どちらかといえば評価している,,好ましい,,観光客の消費によって飲食業や宿泊業が潤う,,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 飲食施設, 宿泊施設、土産物屋, 駐車場",5,5,美味しいものが多い 自然豊か ,10,気持ちおだやかに暮らせる,9,,20～29歳,女性
鯖江市,全くそうは思わない,鯖江には新幹線が止まらない,全くそうは思わない,鯖江駅が錆びれた感じになって、駅近に住んでいるのに悲しい,ややそう思う,,ややそう思う,,そう思う,,どちらともいえない,,どちらかと言えば好ましい,,"まちに賑わいが生まれる, 地域の知名度が上がる",,治安の悪化,,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 飲食施設",1,2,,6,,5,,60～69歳,女性
大野市,あまりそうは思わない,離れていて目玉の観光がないから,あまりそうは思わない,ほとんど電車は使わない,ややそう思う,オーバーツーリズムのような影響は福井にはないと思う,ややそう思う,地元なので紹介したい気持ちはある,あまりそうは思わない,いまいち観光の目玉がない。,どちらかと言えば評価していない,私自身があまり知らない,どちらかと言えば好ましい,増えすぎても困るし、なさすぎても困る,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",経済面でのプラスはある,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊",,"観光スポットを結ぶ交通機関, 観光イベント, 飲食施設",4,3,,5,,3,,40～49歳,男性
越前町,そう思う,観光客の増加,ややそう思う,東京に行きやすくなった,ややそう思う,関西方面へのアクセスが不自由,とてもそう思う,福井の良さを知って欲しい,ややそう思う,,どちらかといえば評価している,よく知らない,どちらかと言えば好ましい,知らない人か増えるのは心配,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる, 観光客との交流が生まれる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント",4,2,観光地がない,7,,7,,50～59歳,女性
坂井市,ややそう思う,,あまりそうは思わない,,そう思う,,とてもそう思う,,そう思う,,どちらかといえば評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく",,"騒音やごみの増加, 治安の悪化",,観光スポットを結ぶ交通機関,5,5,,9,,9,,30～39歳,男性
鯖江市,そうは思わない,新幹線駅は遠い。鯖江駅には特急とまらない。,あまりそうは思わない,観光客もそれほど。ビジネスで北陸新幹線を利用するが、昼の時間ははくたかしか走行していないので、東海道新幹線利用時よりも時間がかかっている印象。料金も高い。,ややそう思う,結局福井に宿泊はしないのでは、金沢観光のついでに恐竜博物館とかになっていると思われる,ややそう思う,,ややそう思う,観光へのポテンシャルはあるが、交通手段に課題あり,どちらかと言えば評価していない,関西、東海地区への発信を強化すべし,どちらかと言えば好ましい,,特に効果は期待できない,福井には一回くれば充分。リピート客はほとんどいないのではないか,"騒音やごみの増加, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 宿泊施設、土産物屋",3,3,,3,全然魅力がない。低賃金、高物価、車は必ず必要→子供に福井に帰ってこいと言えない。,0,新幹線効果がなくなり、福井駅周辺はどうなるのか大変不安,50～59歳,男性
鯖江市,全くそうは思わない,延線が鯖江通過して沿線のメリット、効果を全く感じられません。むしろ在来線の駅、周辺の活気が薄れて寂しい駅となった感が否めません。,ややそう思う,福井駅、駅前の活気や人流はあきらかに開業後に良くなった印象がありますし、他県の観光客が飲食店で並んでいるのを見かける機会、頻度が確実に上がったと感じているからです。,そう思う,前記のとおりの理由です。,そう思う,福井の魅力を多くの人に知っていただきたいからです！,とてもそう思う,素晴らしい観光資源が多くあり、それらを十分にアピールしきれてないからです。,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 移住・定住のきっかけとなる",,特に心配はない,,"観光スポットの案内板や標識（多言語表示）, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 飲食施設, 駐車場",2,3,地場産業に興味のある、属性が合う人にとっては魅力ある街だが若者や他の目的があるお客さんにとっては微妙だと思っています。,8,やはり社交性、協調性にやや欠ける県民性であり、もっと人と人との交流が出来る場所を多くないと発展していかないと感じるからです。,6,人口減により今のサービスを維持出来なくなり、不具合が多く生じてしまう可能性が高いと感じます。,40～49歳,男性
坂井市,ややそう思う,,ややそう思う,,そう思う,,とてもそう思う,,とてもそう思う,,どちらかといえば評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",,交通渋滞や路上駐車などの交通環境の悪化,,"観光スポットを結ぶ交通機関, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 駐車場",4,4,,7,,7,,40～49歳,男性
福井市,とてもそう思う,,あまりそうは思わない,,そう思う,,とてもそう思う,,そう思う,,評価している,,好ましい,,"まちに賑わいが生まれる, 地域の知名度が上がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 飲食施設",3,3,,8,,8,,60～69歳,男性
