【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,上記回答の理由をお答えください（任意）,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。
福井市,とてもそう思う,観光者が増える,とてもそう思う,東京へ行きやすい,そう思う,売り上げ,そう思う,良い所がたくさん、美味しい食事,そう思う,売り上げ,どちらともいえない,何をされてるかわからないから,とても好ましい,売り上げ,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる, 歴史文化資源の保存活用につながる",,交通渋滞や路上駐車などの交通環境の悪化,,"観光スポットを結ぶ交通機関, 観光イベント",3,4,食事がおいしい,8,自然、食事、,8,変わらないと思う,50～59歳,男性
福井市,ややそう思う,観光に来易い,そう思う,関東行く時に便利,ややそう思う,観光収入増えるから,とてもそう思う,福井を好きになって貰いたいから,とてもそう思う,魅力を分かって欲しい,評価している,イベント数などから,好ましい,福井の経済が潤う,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化, 日常生活に影響が出るほどの不安",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 駐車場",5,5,福井に魅力を感じるから,9,ほぼ満足だから,9,変わらないと思う,50～59歳,女性
福井市,あまりそうは思わない,,あまりそうは思わない,,とてもそう思う,,とてもそう思う,,とてもそう思う,,どちらかと言えば評価していない,ピーアルも恐竜のみで弱い。もっと別のもの（誇れる施設やテーマパークなど）を新しく建てるべき,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 駐車場, その他",3,3,,8,,8,,30～39歳,男性
越前市,ややそう思う,自分自身、新幹線の利用が増えたから,ややそう思う,東京へ日帰りでも行けるようになった,そう思う,食の豊かさや、おいしさを以前よりアピールできていると思う。北陸新幹線で福井を紹介するテレビ番組を何度か目にしたから,そう思う,自然豊かで食に関しても他県に負けていないと思う,そう思う,"福井の隣県とも関わりを深くし、北陸の良さを広めてほしい
",どちらともいえない,どのような事をしているのか内容を知らない,どちらかと言えば好ましい,活気ある街、県になる。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, ガイドなど市民参加の場が広がる",,交通渋滞や路上駐車などの交通環境の悪化,,観光スポットを結ぶ交通機関,3,4,住みやすい,8,住みやすいが、これからの老後は不安ではある。車に乗らなくなった時,6,子供達も近くにいるので、孤独感は無いかと思う,60～69歳,女性
福井市,そう思う,駅前が賑わってるとおもう,あまりそうは思わない,生活自体には影響はない,そう思う,観光名所に多くの人が来るようになった,そう思う,魚や米や水やお酒が美味しいので、ぜひきてほしい,とてもそう思う,福井のよいところを知ってほしい,どちらかといえば評価している,,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる",,特に心配はない,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 体験施設",3,3,,8,空気が綺麗,8,,50～59歳,女性
坂井市,ややそう思う,金沢開通の際に恩恵があったから,ややそう思う,利便性は良くなる東尋坊思うから,とてもそう思う,これといった産業がなく、観光業に力を入れて欲しいから,とてもそう思う,食べ物がやはり美味しい,とてもそう思う,食に関しては、国内トップレベルだとおもうから,どちらかといえば評価している,もっと連携を強めるべき,とても好ましい,自分よ仕事にプラスになるから,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく",,特に心配はない,,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化",3,4,住みやすい,6,不可がない,8,これからを期待したい,50～59歳,男性
敦賀市,ややそう思う,観光客が多くなった,あまりそうは思わない,,ややそう思う,,ややそう思う,,ややそう思う,,どちらかといえば評価している,,どちらともいえない,,"まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊",,"観光スポットを結ぶ交通機関, 宿泊施設、土産物屋, 駐車場",3,4,,8,四季の移り変わりがよくわかり、自然に恵まれているから,8,住みやすい,60～69歳,男性
敦賀市,ややそう思う,賑わいがあるが治安が悪くなるなど悪い面もあるため,全くそうは思わない,生活への良い影響が感じられない,全くそうは思わない,,とてもそう思う,,そう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,"まちに賑わいが生まれる, 地域の知名度が上がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント",3,3,,6,,6,,50～59歳,男性
坂井市,とてもそう思う,,ややそう思う,,そう思う,,そう思う,,そう思う,,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, ガイドなど市民参加の場が広がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場",5,5,,10,,10,,40～49歳,女性
越前市,あまりそうは思わない,,そう思う,,そう思う,,そう思う,,そう思う,,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる",,"交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光案内所、観光ガイド, 駐車場",4,4,,7,,8,,50～59歳,女性
福井市,そう思う,,あまりそうは思わない,,そうは思わない,,とてもそう思う,,ややそう思う,,どちらともいえない,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,特に心配はない,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋",3,3,,6,,4,,40～49歳,女性
福井市,ややそう思う,観光客が増加した。,ややそう思う,首都圏への往復が便利になった。,ややそう思う,,ややそう思う,,ややそう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 歴史文化資源の保存活用につながる",,"騒音やごみの増加, 歴史文化資源の破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 駐車場, 体験施設",2,3,,8,,8,,40～49歳,女性
福井市,そう思う,観光客をよく見るから,とてもそう思う,東日本へ行きやすくなった,全くそうは思わない,福井の魅力を発信できると信じてるため,とてもそう思う,お金を落としてくれる,とてもそう思う,良いものが沢山あることを知って欲しい,どちらかといえば評価している,未だ、発信力が足りないと思う,好ましい,経済的に発展してくれると思う,"まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる",,"歴史文化資源の破壊, 自然破壊",マナーを守らない人も一定数、いると思う,"観光スポットを結ぶ交通機関, 体験施設",4,4,飯が美味いし、自然が魅力的,8,公共交通機関をもう少し充実させて欲しい,10,そうであって欲しい,40～49歳,男性
勝山市,そう思う,,ややそう思う,,そう思う,,そう思う,,そう思う,,とても評価している,,どちらかと言えば好ましい,,"まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット, 宿泊施設、土産物屋",4,4,,8,,8,,60～69歳,男性
あわら市,あまりそうは思わない,,全くそうは思わない,関西、中京へ行きにくくなった,ややそう思う,,あまりそうは思わない,,とてもそう思う,,どちらともいえない,,どちらともいえない,地域経済活性化にはいいが、暮らすには、観光客は来ない方がいい,観光客の消費によって飲食業や宿泊業が潤う,,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,飲食施設,4,4,,9,,7,,60～69歳,男性
福井市,そう思う,東京方面に行きやすくなった。雪が降っても心配なく行けそう,ややそう思う,大阪方面の方がよく行くので、福井から特急がなくなり、敦賀で乗り換えで不便になったから,そう思う,観光客が増えたから、経済的にいい流れができているから,とてもそう思う,人が増えて、もっと街が栄えてほしい,とてもそう思う,もっと経済的に交通機関も栄えて便利になってほしい。全国にあって福井に無い施設や店ができてほしい,どちらともいえない,観光できるような場所がやはりとても少ない,好ましい,街が賑わってほしい,"まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 飲食施設, 体験施設",3,4,食べ物は自慢できる,8,まぁまぁ暮らしやすい,8,大きく変わるとは思えないから、今の生活がキープされてると思うから,60～69歳,女性
福井市,そう思う,,そう思う,,ややそう思う,,ややそう思う,,そう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）",3,4,,7,,8,,60～69歳,男性
越前町,ややそう思う,関東の友人が頻繁に遊びに来てくれるようになった。,そう思う,東京出張の際にえちぜん武生からの新幹線がとても便利。駐車場無料もありがたい。,とてもそう思う,,とてもそう思う,,とてもそう思う,県外の友人が皆、福井の食べ物や観光がとても素晴らしいと感動するので、いろんな方々に是非来福してほしいです！,どちらかと言えば評価していない,例えば地元の泰澄の杜など、宿泊施設のサービスやホスピタリティが足りないと思う。スタッフ教育やおもてなし力がもっと必要だと思う。,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,特に心配はない,,"観光スポットを結ぶ交通機関, 宿泊施設、土産物屋",4,5,,8,公共交通機関がもっと便利だと嬉しい,8,,60～69歳,女性
坂井市,全くそうは思わない,駅前なにもない,全くそうは思わない,駅前なにもない,全くそうは思わない,不便,とてもそう思う,ご飯が美味しい,とてもそう思う,,とても評価している,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"歴史文化資源の破壊, 自然破壊",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光イベント",3,3,,3,,3,,30～39歳,男性
勝山市,そう思う,,ややそう思う,,そう思う,,とてもそう思う,,とてもそう思う,,評価している,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",,"交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光イベント, 体験施設",3,4,,7,,7,,40～49歳,男性
敦賀市,ややそう思う,全国テレビによく出るようになった,ややそう思う,カフェや、お土産ものの種類が増えた。,そう思う,身の回りで悪い影響を体験していない為。,とてもそう思う,福井の美味しいとこ楽しいところを知って欲しい。,とてもそう思う,,どちらかといえば評価している,,好ましい,経済が潤う,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく",,特に心配はない,,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 駐車場, 体験施設",4,3,まだこれといった自慢がないように感じる,8,,10,様々な施設が増えているだろうと考えるため。,20～29歳,女性
坂井市,とてもそう思う,県外からの観光客が増えたと感じるから。,そう思う,東京への、アクセスが良くなったと思う。,とてもそう思う,経済が、回ると思う。,とてもそう思う,福井の良い所を、県外の他の人達にも、紹介して欲しい。,そう思う,恐竜や蟹など、他の県では、体験出来ない事があると思うから。,評価している,観光客の人が、増えていると感じから。,とても好ましい,経済が、活性化するから。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",5,5,東尋坊や、越前蟹など、お勧め出来ると思います。,6,イオンのような、もっと大きな、ショッピングセンターがあると、選択肢が広がるので良いと思います。,6,物価高で、1年後の事も、どうなっているのか、分からないから。,50～59歳,女性
福井市,そう思う,来福される方が確実に増えると思うから。,ややそう思う,道路が混雑しないか心配である。,あまりそうは思わない,経済的には、潤うと思うから。,そう思う,遠路はるばる来る方も多いと思うため。,ややそう思う,これまでの県の取り組みとしては、ＰＲがまだまだだと思うから。,どちらかと言えば評価していない,さほど大きな変化が見られたとは感じないから。,どちらともいえない,できれば静かな街であって欲しいから。,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 観光客との交流が生まれる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 宿泊施設、土産物屋, 体験施設",3,4,ゆっくりと穏やかに暮らせる街だと思うから。,8,人が多くなく、また車の渋滞もなく、ゆったりと暮らせているから。,10,老後を過ごすにはいい街だと思うから。,60～69歳,男性
福井市,そう思う,観光客が増えて賑わったから,そう思う,,ややそう思う,,そう思う,パワースポットが多い,そう思う,,どちらともいえない,,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",,自然破壊,,観光スポットを結ぶ交通機関,3,3,,5,,5,,60～69歳,女性
福井市,そう思う,,あまりそうは思わない,,そう思う,,そう思う,,そう思う,,評価している,,好ましい,,"波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,特に心配はない,,"観光スポットを結ぶ交通機関, 飲食施設",4,2,,5,,5,,60～69歳,女性
あわら市,そう思う,関東方面からの観光客が増えた。,あまりそうは思わない,,とてもそう思う,,とてもそう思う,,とてもそう思う,,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, ガイドなど市民参加の場が広がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット",4,4,,8,,5,,60～69歳,女性
坂井市,そう思う,,あまりそうは思わない,,そう思う,,そう思う,,そう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,あまり増えすぎてもゴミ問題とか交通機関に影響が出て結局困るのは住民だから,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",4,4,とにかく?美味しいものが多い,8,生まれ育ったところが1番落ち着く,8,,50～59歳,女性
福井市,そう思う,街中でイベントがある時に、沢山の人が来ているから,あまりそうは思わない,,あまりそうは思わない,,そう思う,,ややそう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,"まちに賑わいが生まれる, 観光客との交流が生まれる",,"騒音やごみの増加, 自然破壊, 治安の悪化",,"障害者や高齢者への配慮（バリアフリー）, 飲食施設, 宿泊施設、土産物屋",2,2,,8,,8,,40～49歳,女性
福井市,そう思う,東京から乗り換え無しで来れるので、観光しやすいと思います。,そう思う,富山市に行ったり、東京へ行くことがあるので、便利になった,そう思う,恐竜博物館、東尋坊など観光地があるので,そう思う,観光に来てもらうと、福井の経済が潤うと思う,そう思う,,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,特に心配はない,,観光スポットを結ぶ交通機関,3,4,,8,,8,,60～69歳,女性
福井市,そう思う,高速移動が可能になった,そう思う,高速移動が可能になった,そう思う,観光客の増加,そう思う,県をあげたおもてなしの為,そう思う,福井県の場所も知られていない為,どちらともいえない,もっとPRすべき,どちらかと言えば好ましい,福井県の認知度向上の為,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",観光客増による経済効果増,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",観光客が増えれば想定される,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場",4,4,他地域にはない特産品及び観光施設,7,生活がしやすい(基盤が周囲に揃っている),7,そうは変わらないと思う,50～59歳,男性
